,content
0,"Luân Lê
27 tháng 5 lúc 16:34 ·

VĂN TỪ CỦA NHỮNG KẺ VÔ LẠI

Những kẻ chẳng còn nhân tính, nhưng, lại là những cái nhưng chất chứa nỗi xót xa và phẫn nộ, những bộ mặt gánh vác trọng trách “gây dựng tâm hồn” sonKhác phết rạng rỡ vẻ ngoài “nhân văn” lại là những kẻ vô lại vì tâm hồn đã lấm bẩn đầy bùn đất.
Các câu chữ được bày ra chỉ cho thấy họ không chỉ tàn bạo với đồng nghiệp, mà họ còn đang thực hiện một cuộc lật đổ về nhân tính con người, khi đang nhân danh sự giáo dục.
“Đù phe mình không”, hay “dập cho chết bà nhà nó đi”, một cách vui thú, trong một đoạn thoại ngắn ngủi giữa vài gương mặt nhà giáo với nhau. Và người thứ ba vắng mặt trở thành tiêu ngắm để bọn họ thực hành những sự triệt hạ mà chúng đang được thảo bàn trong sự tàn nhẫn hết sức lạnh lùng.
Nó không phải một sự hy hữu, nó trở thành phương cách phổ biến cho nỗi sinh tồn trong xã hội hiện thời - phe (cánh) nào; và sự truy diệt.
https://www.facebook.com/HienTheVoHinh/posts/2965520047025094

Luân Lê
27 tháng 5 lúc 11:34 ·

VĂN TỪ CỦA NHỮNG KẺ VÔ LẠI

Những kẻ chẳng còn nhân tính, nhưng, lại là những cái nhưng chất chứa nỗi xót xa và phẫn nộ, những bộ mặt gánh vác trọng trách “gây dựng tâm hồn” son phết rạng rỡ vẻ ngoài “nhân văn”Khác lại là những kẻ vô lại vì tâm hồn đã lấm bẩn đầy bùn đất.

Các câu chữ được bày ra chỉ cho thấy họ không chỉ tàn bạo với đồng nghiệp, mà họ còn đang thực hiện một cuộc lật đổ về nhân tính con người, khi đang nhân danh sự giáo dục.

“Đù phe mình không”, hay “dập cho chết bà nhà nó đi”, một cách vui thú, trong một đoạn thoại ngắn ngủi giữa vài gương mặt nhà giáo với nhau. Và người thứ ba vắng mặt trở thành tiêu ngắm để bọn họ thực hành những sự triệt hạ mà chúng đang được thảo bàn trong sự tàn nhẫn hết sức lạnh lùng.

Nó không phải một sự hy hữu, nó trở thành phương cách phổ biến cho nỗi sinh tồn trong xã hội hiện thời - phe (cánh) nào; và sự truy diệt."
1,"THẦY GIÁO THỂ HIỆN VĂN HÓA ĐẢNG?

Khoảng Trời Có Mưa
1 tháng 5 lúc 23:02 ·

Không biết với những hành vi như thế của một giáo viên đại diện ngành giáo dục thì trách nhiệm trước pháp luật và toàn xã hội sẽ làKhác tạm đình chỉ giảng dạy hay là phải xử lý hình sự?!
Thầy giáo mà cứ ngỡ m.a cô!

https://www.facebook.com/khoangtroicomua1/posts/330266272001555

Khoảng Trời Có Mưa
1 tháng 5 lúc 18:02 ·

Không biết với những hành vi như thế của một giáo viên đại diện ngành giáo dục thì trách nhiệm trước pháp luật và toàn xã hội sẽ là tạm đình chỉ giảng dạy hay là phải xử lý hình sự?!
Thầy giáo mà cứ ngỡ m.a cô!

Like Page 👉 👉

Khoảng Trời Có Mưa"
2,"Nguyễn Đình Cống
3 giờ ·
THƯ TRẢ LỜI CỦA BỘ TRƯỞNG
Tôi vừa nhận thư trả lời của Bộ trưởng, chép lên đây để các ban xem.
Kính gửi Thầy Nguyễn Đình Cống
Xin trân trọng cảm ơn những lời thẳng thắn, chân thànhKhác và trách nhiệm của Thầy. Thầy và các Thầy Cô đồng nghiệp khác nếu có các ý kiến tư vấn gì cụ thể hơn xin lại gửi vào địa chỉ email này.
Kính chúc Thầy mạnh khỏe
Trân trọng
Nguyễn Kim Sơn

Tạm thời biết như vậy. Sau này chưa biết như thế nào, Cần theo dõi tiếp, đặc biệt khi Bộ trưởng biết rõ sự thật về Ng Đ Cống đã từ bỏ ĐCS và đang bị theo dõi, tự ứng cử vào QH và đã bị loại từ vòng gửi xe.
Dù sao cũng là một tín hiệu tốt. Chờ xem tiếp.

https://www.facebook.com/ngdinhcong/posts/4189601807727709

Nguyễn Đình Cống
25 tháng 4 lúc 15:10 ·

THƯ TRẢ LỜI CỦA BỘ TRƯỞNG

Tôi vừa nhận thư trả lời của Bộ trưởng, chép lên đây để các ban xem.

Kính gửi Thầy Nguyễn Đình Cống

Xin trân trọng cảm ơn những lời thẳng thắn, chân thành và trách nhiệm của Thầy. Thầy và các Thầy Cô đồng nghiệp khác nếu có các ý kiến tư vấn gì cụ thể hơn xin lại gửi vào địa chỉ email này.

Kính chúc Thầy mạnh khỏe

TrânKhác trọng

Nguyễn Kim Sơn

Tạm thời biết như vậy. Sau này chưa biết như thế nào, Cần theo dõi tiếp, đặc biệt khi Bộ trưởng biết rõ sự thật về Ng Đ Cống đã từ bỏ ĐCS và đang bị theo dõi, tự ứng cử vào QH và đã bị loại từ vòng gửi xe.
Dù sao cũng là một tín hiệu tốt. Chờ xem tiếp."
3,"https://www.youtube.com/watch?v=rXQQ-oXEnFs

YOUTUBE.COM
KTV tối 26/3: Hậu ĐH 13 ĐB Lưu Bình Nhưỡng y/c TBT không được biến QH thành sở hữu của nhóm lợi ích?"
4,"Video thứ 10 được thực hiện nhân một thành tựu lịch sử trong công cuộc chinh phục không gian :""Tầu thám hiểm Hỏa tinh Perseverance hay Mars 2020"".
Xin trân trọng giới thiệu cùng cả nhà và mong được mọi người ủng hộ.
#Mars2020 #perseverance #khônggian #hỏatinh
Phạm Minh Hoàng
Khoa Học & Chúng Ta.
https://youtu.be/RDPGkBfNC8M

YOUTUBE.COM
Tàu thám hiểm Hỏa Tinh Perseverance"
5,"Video thứ 9 được thực hiện vào nhũng ngày cuối năm âm lịch với chủ đề :""Lịch và tại sao có năm nhuận"".
Xin trân trọng giới thiệu cùng cả nhà và mong được mọi người ủng hộ.
#lịch #nămnhuận
Phạm Minh Hoàng
Khoa Học & Chúng Ta.

https://www.youtube.com/watch?v=sFDJ1ds2ifc&t=42s

YOUTUBE.COM
Lịch & Năm nhuận"
6,"Video thứ 8 với chủ đề rất thời sự :""Toán học và COVID-19, Phần 2 : Vắc-xin có đưa nhân loại thoát khỏi tai họa COVID-19 hay không ? .
Xin trân trọng giới thiệu cùng cả nhà và mong được mọi người ủng hộ.
https://youtu.be/9VEcn0RQ82A
#COVID19, #CORONA #Pfizer #moderna
Phạm Minh Hoàng
Khoa Học & Chúng Ta.

YOUTUBE.COM
Toán học và COVID-19 - Phần 2 : Vắc-xin"
7,"Bàn về nền Giáo dục VNCH, tai sao lại nói đó là sự tiếc nuối vô bờ bến của người VN?

https://www.youtube.com/watch?v=fL12-9GFGk8

YOUTUBE.COM
KTV trưa 21/01: Bàn về nền Giáo dục VNCH, tai sao lại nói đó là sự tiếc nuối vô bờ bến của người VN?"
8,"Đặng Phước
19 tháng 1 lúc 21:29 ·
TRẦN ĐĂNG TRUNG- KẺ LỘNG NGÔN HỒ ĐỒ ĐÃ BỊ TRƯỜNG ĐHKHXH&NV HÀ NỘI KHƯỚC TỪ
Có lẽ hắn ta định dùng chiêu trò bưng bô kiếm ghế nhưng hành vi thái quá, lộng ngôn hồ đồ... tưởngKhác như vậy sẽ được ""ông chủ"" chú ý, nhưng có ai ngờ bị nhà trường dội cho một gáo nước lạnh buốt tận tim gan!
Trời mùa Đông Hà Nội rét thấu xương mà hắn lại bị thêm một gáo nước lạnh có lẽ da hắn nổi gai ốc, tóc gáy hắn dựng ngược trông thảm hại như chuột rớt chĩnh nước vo gạo.
Mấy ngày trước cái đứa đồng bóng tên Trung đang còn hăng tiết vịt, lên gân cốt, súng ống lăm lăm... Hắn nhìn ai cũng ra dáng ""thế lực thù địch"" với lại ""phản động"" chỉ muốn nhả đạn cho chết hết cả(!)...
Đến nay thì sao? Mặt mày hắn ta tiu nghĩu trông như đứa sắp ch.ết trôi mới cứu được, súng ống tìm 3 ngày chẳng thấy, ngồi ""đực mặt như ngỗng ỉa"", thỉnh thoảng cất tiếng tru nghe thật ghê rợn, hắn điên thật rồi!
Hắn vừa tru tréo vừa lẩm bẩm như một kẻ vô hồn: ""thằng phây búc ch.êt tiệt, Phây búc ch.ết tiệt"" 😀😀😀
19/01/2021
Đặng Phước
https://www.facebook.com/manhhung.vu.566790/posts/1663129513893616

Đặng Phước
19 tháng 1 lúc 16:29 ·

TRẦN ĐĂNG TRUNG- KẺ LỘNG NGÔN HỒ ĐỒ ĐÃ BỊ TRƯỜNG ĐHKHXH&NV HÀ NỘI KHƯỚC TỪ

Có lẽ hắn ta định dùng chiêu trò bưng bô kiếm ghế nhưng hành vi thái quá, lộng ngôn hồ đồ... tưởng như vậy sẽ được ""ông chủ"" chú ý,Khác nhưng có ai ngờ bị nhà trường dội cho một gáo nước lạnh buốt tận tim gan!

Trời mùa Đông Hà Nội rét thấu xương mà hắn lại bị thêm một gáo nước lạnh có lẽ da hắn nổi gai ốc, tóc gáy hắn dựng ngược trông thảm hại như chuột rớt chĩnh nước vo gạo.

Mấy ngày trước cái đứa đồng bóng tên Trung đang còn hăng tiết vịt, lên gân cốt, súng ống lăm lăm... Hắn nhìn ai cũng ra dáng ""thế lực thù địch"" với lại ""phản động"" chỉ muốn nhả đạn cho chết hết cả(!)...

Đến nay thì sao? Mặt mày hắn ta tiu nghĩu trông như đứa sắp ch.ết trôi mới cứu được, súng ống tìm 3 ngày chẳng thấy, ngồi ""đực mặt như ngỗng ỉa"", thỉnh thoảng cất tiếng tru nghe thật ghê rợn, hắn điên thật rồi!

Hắn vừa tru tréo vừa lẩm bẩm như một kẻ vô hồn: ""thằng phây búc ch.êt tiệt, Phây búc ch.ết tiệt"" 😀😀😀
19/01/2021
Đặng Phước"
9,"Mạc Van Trang đã cập nhật trạng thái của anh ấy.
5 tháng 1 lúc 12:23 ·
ĐỪNG LÀM KHỔ CÁC CHÁU NỮA!

Hỏi các bậc cha mẹ học sinh sao không dám lên tiếng?
Hỡi các thầy cô giáo đừng hành hạ học sinh nữa!
Đừng bắtKhác mỗi học sinh phải nộp ít nhất là2,5kg giấy vụn! “ Kế hoạch nhỏ” cái gì? Chả khác gì sưu thuế, ép buộc!
cháu nào không có đủ thì khốn khổ lắm!
Nếu muốn giáo dục học sinh thì hãy kêu gọi, em nào có giấy vụn thì để vào cái thùng của lớp, không cần cân kẹo gì hết, không ghi danh ai nộp bao nhiêu, ai không có cũng không sao cả. Làm được như thế mới gọi là giáo dục ý thức tiết kiệm, tính tự giác, tự nguyện của HS... Như vậy mới có tác dụng giáo dục. Nếu không làm được như vậy thì thôi đừng bày trò ép buộc, hình thức, phản giáo dục!

https://www.facebook.com/permalink.php?story_fbid=1160594804401118&id=100013518285955

Mạc Van Trang đã cập nhật trạng thái của anh ấy.
5 tháng 1 lúc 07:23 ·

ĐỪNG LÀM KHỔ CÁC CHÁU NỮA!
Hỏi các bậc cha mẹ học sinh sao không dám lên tiếng?
Hỡi các thầy cô giáo đừng hành hạ học sinh nữa!
Đừng bắt mỗi học sinh phải nộp ít nhất là2,5kg giấy vụn! “ Kế hoạch nhỏ” cái gì? Chả khác gì sưu thuế, ép buộc!
cháu nào không có đủ thì khốn khổ lắm!
Nếu muốn giáo dục học sinh thì hãy kêu gọi, em nào có giấy vụn thì đểKhác vào cái thùng của lớp, không cần cân kẹo gì hết, không ghi danh ai nộp bao nhiêu, ai không có cũng không sao cả. Làm được như thế mới gọi là giáo dục ý thức tiết kiệm, tính tự giác, tự nguyện của HS... Như vậy mới có tác dụng giáo dục. Nếu không làm được như vậy thì thôi đừng bày trò ép buộc, hình thức, phản giáo dục!"
