,content
0,"Bài viết Tưởng Niệm 45 Năm Việt Nam Cộng Hoà Bị Bức Tử
CUỘC CHIẾN VẪN CHƯA TÀN
45 năm…Gần nửa thế kỷ, hơn nửa đời người.
Tháng tư đen năm nay lại về, nỗi sầu dân tộc điêu linh lại còn chất thêm nỗi lo đại… More dịch trên mảnh đất bị cầm quyền cs dày xéo tan nát. Các trưởng bối ra đi dần. Thế hệ Hậu duệ càng thấy mình thêm trách nhiệm, và tự do cho đất nước mãi là một khát vọng được trao truyền mà hậu duệ đã đón nhận với không ít âu lo với rất nhiều nỗ lực. Chúng tôi chợt nhớ một câu nói của một trưởng bối rằng “Cuộc phế hưng là lẽ thương tình, phải chi cs cầm quyền đàng hoàng, biết bảo vệ đất nước và dân tộc, thì họ cứ việc cầm quyền, người VNCH không phê phán làm gì, và có thể rửa tay gác… More

Bài viết Tưởng Niệm 45 Năm Việt Nam Cộng Hoà Bị Bức Tử

CUỘC CHIẾN VẪN CHƯA TÀN

45 năm…Gần nửa thế kỷ, hơn nửa đời người.
Tháng tư đen năm nay lại về, nỗi sầu dân tộc điêu linh lại còn chất thêm nỗi lo đại dịch trên mảnh đất bị cầm quyền cs dày xéo tan nát. Các trưởng bối ra đi dần. Thế hệ Hậu duệ càng thấy mình thêm trách nhiệm, và tự do cho đất nước mãi là một khát vọng được trao truyền mà hậu duệ đã đón nhận với không ít âu lo với rất nhiều nỗ lực. Chúng tôi chợt nhớ một câu nói của một trưởng bối rằng “Cuộc phế hưng là lẽ thương tình, phải chi cs cầm quyền đàng hoàng, biết bảo vệ đất nước và dân tộc, thì họ cứ việc cầm quyền, người VNCH không phê phán làm gì, và có thể rửa tay gác… More

"
1,"

Phạm An Hòa
May 12, 2020 at 6:39 AM ·



Phạm An Hòa
May 12, 2020 at 6:39 AM ·

Phạm An Hòa
May 12, 2020 at 6:39 AM ·"
2,"

Nguyễn Thanh Luận is with Nguyễn Thanh Luận.
6 hrs ·
Theo tin nóng:
NGHỆ SĨ HOÀI LINH TUNG GIẤY TỜ TỪ CÁC ĐỊA PHƯƠNG MIỀN TRUNG... DÂN MẠNG TÌM RA ĐIỂM BẤT HỢP LÝ
Giấy xác nhận ngày 21/5/2021 tức là mới cách đây 3 ngày. Xin gấp quá nên ""thằng đánh máy"" nó đánh… More nhầm ngày dự định đi trao tiền là 14/4/2020 luôn rồi.
PS: Loại nhân cách như thế này mà các mạnh thường quân vẫn tin và nhờ trao cho dân nghèo hàng chục tỷ đồng nhưng sau 6 tháng, từng đồng tiền nhân ái đó vẫn nằm yên trong túi thì vô tâm, ác nhân chứ có khác gì đâu?



Nguyễn Thanh Luận is with Nguyễn Thanh Luận.
6 hrs ·
Theo tin nóng:
NGHỆ SĨ HOÀI LINH TUNG GIẤY TỜ TỪ CÁC ĐỊA PHƯƠNG MIỀN TRUNG... DÂN MẠNG TÌM RA ĐIỂM BẤT HỢP LÝ
Giấy xác nhận ngày 21/5/2021 tức là mới cách đây 3 ngày. Xin gấp quá nên ""thằng đánh máy"" nó đánh… More nhầm ngày dự định đi trao tiền là 14/4/2020 luôn rồi.
PS: Loại nhân cách như thế này mà các mạnh thường quân vẫn tin và nhờ trao cho dân nghèo hàng chục tỷ đồng nhưng sau 6 tháng, từng đồng tiền nhân ái đó vẫn nằm yên trong túi thì vô tâm, ác nhân chứ có khác gì đâu?

Nguyễn Thanh Luận is with Nguyễn Thanh Luận.
6 hrs ·

Theo tin nóng:

NGHỆ SĨ HOÀI LINH TUNG GIẤY TỜ TỪ CÁC ĐỊA PHƯƠNG MIỀN TRUNG... DÂN MẠNG TÌM RA ĐIỂM BẤT HỢP LÝ

Giấy xác nhận ngày 21/5/2021 tức là mới cách đây 3 ngày. Xin gấp quá nên ""thằng đánh máy"" nó đánh nhầm ngày dự định đi trao tiền là 14/4/2020 luôn rồi.

PS: Loại nhân cách như thế này mà các mạnh thường quân vẫn tin và nhờ trao cho dân nghèo hàng chục tỷ đồng nhưng sau 6 tháng, từng đồng tiền nhân ái đó vẫn nằm yên trong túi thì vô tâm, ác nhân chứ có khác gì đâu?"
3,"

Bảo Nhi Lê
May 22 at 6:47 AM ·
Chồng vô cảm và vô trách nhiệm. Vợ thì ăn cám xú.
Em muốn binh chồng em thì em chịu khó mở não ra đọc luật một tý rồi khép mỏ lại nha :
Tại điều 132 Bộ luật hình sự 2015, chỉnh sửa năm 2017 :
""Tội thấy người khác gặp nguy hiểm đến tính mạng mà không cứu, giúp"" có thể phạt từ 1 đến 5 năm tù.



Bảo Nhi Lê
May 22 at 6:47 AM ·
Chồng vô cảm và vô trách nhiệm. Vợ thì ăn cám xú.
Em muốn binh chồng em thì em chịu khó mở não ra đọc luật một tý rồi khép mỏ lại nha :
Tại điều 132 Bộ luật hình sự 2015, chỉnh sửa năm 2017 :
""Tội thấy người khác gặp nguy hiểm đến tính mạng mà không cứu, giúp"" có thể phạt từ 1 đến 5 năm tù.

Bảo Nhi Lê
May 22 at 6:47 AM ·

Chồng vô cảm và vô trách nhiệm. Vợ thì ăn cám xú.

Em muốn binh chồng em thì em chịu khó mở não ra đọc luật một tý rồi khép mỏ lại nha :

Tại điều 132 Bộ luật hình sự 2015, chỉnh sửa năm 2017 :
""Tội thấy người khác gặp nguy hiểm đến tính mạng mà không cứu, giúp"" có thể phạt từ 1 đến 5 năm tù."
4,"😂😂😂

😂😂😂

Michel Doan shared a live video to the group: Bạn Phải Lên Tiếng Dân Chủ Cho Đất Nước VN.
22 hrs ·
Play Video
Phan Vân Bách was live.
May 23 at 9:57 AM ·
ĐANG DỊCH LÂY LAN KÉO ĐẾN NHÀ LÀM GÌ CÁC VỊ TRONG TỔ BẦU CỬ 😆
Tồng pào thấy lang Bách từ chối tiếp xúc tổ bầu cử trong thời điểm dịch bệnh đang bùng phát có hợp tình hợp lý không ?

Michel Doan shared a live video to the group: Bạn Phải Lên Tiếng Dân Chủ Cho Đất Nước VN.
22 hrs ·



Play Video
Phan Vân Bách was live.
May 23 at 9:57 AM ·
ĐANG DỊCH LÂY LAN KÉO ĐẾN NHÀ LÀM GÌ CÁC VỊ TRONG TỔ BẦU CỬ 😆
Tồng pào thấy lang Bách từ chối tiếp xúc tổ bầu cử trong thời điểm dịch bệnh đang bùng phát có hợp tình hợp lý không ?

Play Video

Phan Vân Bách was live.
May 23 at 9:57 AM ·
ĐANG DỊCH LÂY LAN KÉO ĐẾN NHÀ LÀM GÌ CÁC VỊ TRONG TỔ BẦU CỬ 😆
Tồng pào thấy lang Bách từ chối tiếp xúc tổ bầu cử trong thời điểm dịch bệnh đang bùng phát có hợp tình hợp lý không ?

Phan Vân Bách was live.
May 23 at 9:57 AM ·

ĐANG DỊCH LÂY LAN KÉO ĐẾN NHÀ LÀM GÌ CÁC VỊ TRONG TỔ BẦU CỬ 😆

Tồng pào thấy lang Bách từ chối tiếp xúc tổ bầu cử trong thời điểm dịch bệnh đang bùng phát có hợp tình hợp lý không ?"
5,"😂😂😂

😂😂😂

Play Video
Hướng Dương
22 hrs ·
Ngày bầu cử VN 23/5 mới qua , xin mời xem tổng bí thư Nguyễn Phú Trọng lết tới hòm để bỏ phiếu .

Play Video

Hướng Dương
22 hrs ·
Ngày bầu cử VN 23/5 mới qua , xin mời xem tổng bí thư Nguyễn Phú Trọng lết tới hòm để bỏ phiếu .

Hướng Dương
22 hrs ·

Ngày bầu cử VN 23/5 mới qua , xin mời xem tổng bí thư Nguyễn Phú Trọng lết tới hòm để bỏ phiếu ."
6,"

Minh Đức Võ is with Võ Minh Đức and Minh Đức Võ.Sg.
20 hrs ·
Thành hồ mà hết ngập vì mưa,tôi thề:bỏ fb!...còn cái trò đầu tư thêm cả trăm ngàn tỷ chống ngập là lưu manh hóa,nhằm xà xẻo tiền của dânThành hồ mà hết ngập vì mưa,tôi thề:bỏ fb!...còn cái trò đầu tư thêm cả trăm ngàn tỷ chống ngập là lưu manh hóa,nhằm xà xẻo tiền của dân

Minh Đức Võ is with Võ Minh Đức and Minh Đức Võ.Sg.
20 hrs ·

Thành hồ mà hết ngập vì mưa,tôi thề:bỏ fb!...còn cái trò đầu tư thêm cả trăm ngàn tỷ chống ngập là lưu manh hóa,nhằm xà xẻo tiền của dânThành hồ mà hết ngập vì mưa,tôi thề:bỏ fb!...còn cái trò đầu tư thêm cả trăm ngàn tỷ chống ngập là lưu manh hóa,nhằm xà xẻo tiền của dân

Thành hồ mà hết ngập vì mưa,tôi thề:bỏ fb!...còn cái trò đầu tư thêm cả trăm ngàn tỷ chống ngập là lưu manh hóa,nhằm xà xẻo tiền của dân"
7,"

Phạm Văn Hải
Yesterday at 12:56 AM ·
VN thừa chùa thiếu bệnh viện.
Xây chùa lớn nhất thế giới để làm gì khi mỗi giường 2-3 bệnh nhân?
Cúng, lễ có hết bệnh?VN thừa chùa thiếu bệnh viện.
Xây chùa lớn nhất thế giới để làm gì khi mỗi giường 2-3 bệnh nhân?
Cúng, lễ có hết bệnh?

Phạm Văn Hải
Yesterday at 12:56 AM ·

VN thừa chùa thiếu bệnh viện.
Xây chùa lớn nhất thế giới để làm gì khi mỗi giường 2-3 bệnh nhân?
Cúng, lễ có hết bệnh?VN thừa chùa thiếu bệnh viện.
Xây chùa lớn nhất thế giới để làm gì khi mỗi giường 2-3 bệnh nhân?
Cúng, lễ có hết bệnh?

VN thừa chùa thiếu bệnh viện.
Xây chùa lớn nhất thế giới để làm gì khi mỗi giường 2-3 bệnh nhân?
Cúng, lễ có hết bệnh?"
8,"

Xuyen Moc Binh
Yesterday at 4:10 AM ·
GIÁO SƯ BÚA . TIẾN SĨ LIỀM ( bài xướng )
Đa phần bọn khốn đất hà thành
Tốt nghiệp trường hầm tận núi xanh
Tiến sĩ liềm ôi toàn ả rách
Giáo sư búa ối hiếm ô lành
Độ trình thấp tủn , văn chương nát
Kiến thức… More lùn lè , nghiệp vụ tan
Mở miệng ra cho thiên hạ chửi
Mày trơ , mặt tráo , lũ ham danh !
_ Xuyen Moc Binh _
03 / 12 / 2018



Xuyen Moc Binh
Yesterday at 4:10 AM ·
GIÁO SƯ BÚA . TIẾN SĨ LIỀM ( bài xướng )
Đa phần bọn khốn đất hà thành
Tốt nghiệp trường hầm tận núi xanh
Tiến sĩ liềm ôi toàn ả rách
Giáo sư búa ối hiếm ô lành
Độ trình thấp tủn , văn chương nát
Kiến thức… More lùn lè , nghiệp vụ tan
Mở miệng ra cho thiên hạ chửi
Mày trơ , mặt tráo , lũ ham danh !
_ Xuyen Moc Binh _
03 / 12 / 2018

Xuyen Moc Binh
Yesterday at 4:10 AM ·

GIÁO SƯ BÚA . TIẾN SĨ LIỀM ( bài xướng )

Đa phần bọn khốn đất hà thành
Tốt nghiệp trường hầm tận núi xanh
Tiến sĩ liềm ôi toàn ả rách
Giáo sư búa ối hiếm ô lành
Độ trình thấp tủn , văn chương nát
Kiến thức lùn lè , nghiệp vụ tan
Mở miệng ra cho thiên hạ chửi
Mày trơ , mặt tráo , lũ ham danh !

_ Xuyen Moc Binh _
03 / 12 / 2018"
9,"Bang Son Le
chiến đấu vì màu cờ sắc áo ... việt cộng...

Bang Son Le

chiến đấu vì màu cờ sắc áo ... việt cộng...

Lan Trúc
May 22 at 5:17 AM ·
TÔI KHÔNG NÓI ĐIÊU. NHỮNG NGƯỜI NGỒI ( TRONG ẢNH ) NÀY LÀ MẸ ĐẺ LŨ DLV, CỜ ĐỎ. CỘNG ĐỒNG MẠNG NGHĨ XEM:"" MẸ LŨ NÓ MÀ CÒN NGU NGỤC NHƯ VẦY THÌ THỬ HỎI LŨ DLV, CỜ ĐỎ KHÔNG BƯNG BÔ, NỘP MẠNG CHO LŨ CS MỚI LÀ LẠ""



Lan Trúc
May 22 at 5:17 AM ·
TÔI KHÔNG NÓI ĐIÊU. NHỮNG NGƯỜI NGỒI ( TRONG ẢNH ) NÀY LÀ MẸ ĐẺ LŨ DLV, CỜ ĐỎ. CỘNG ĐỒNG MẠNG NGHĨ XEM:"" MẸ LŨ NÓ MÀ CÒN NGU NGỤC NHƯ VẦY THÌ THỬ HỎI LŨ DLV, CỜ ĐỎ KHÔNG BƯNG BÔ, NỘP MẠNG CHO LŨ CS MỚI LÀ LẠ""

Lan Trúc
May 22 at 5:17 AM ·

TÔI KHÔNG NÓI ĐIÊU. NHỮNG NGƯỜI NGỒI ( TRONG ẢNH ) NÀY LÀ MẸ ĐẺ LŨ DLV, CỜ ĐỎ. CỘNG ĐỒNG MẠNG NGHĨ XEM:"" MẸ LŨ NÓ MÀ CÒN NGU NGỤC NHƯ VẦY THÌ THỬ HỎI LŨ DLV, CỜ ĐỎ KHÔNG BƯNG BÔ, NỘP MẠNG CHO LŨ CS MỚI LÀ LẠ"""
