,content,label,avg_length
0,"Theo các đại diện của cư dân Tiểu Khu 179, chính quyền huyện sẽ cấp thẻ căn cước công dân vào tháng 7 này, và cũng tháng 7 này sẽ triển khai các dự án xây dựng hạ tầng cơ sở bao gồm đường xá, trạm xá y tế, nhà… Meer trẻ, sân chơi, và trung tâm cộng đồng. Đầu tháng 3 vừa qua, Quân Khu 7 cử 2 giáo viên bình dân học vụ để dạy đọc và viết cho các người Hmong chưa từng đến trường. Hiện có trên 40 học viên theo học.

Theo các đại diện của cư dân Tiểu Khu 179, chính quyền huyện sẽ cấp thẻ căn cước công dân vào tháng 7 này, và cũng tháng 7 này sẽ triển khai các dự án xây dựng hạ tầng cơ sở bao gồm đường xá, trạm xá y tế, nhàMeer trẻ, sân chơi, và trung tâm cộng đồng. Đầu tháng 3 vừa qua, Quân Khu 7 cử 2 giáo viên bình dân học vụ để dạy đọc và viết cho các người Hmong chưa từng đến trường. Hiện có trên 40 học viên theo học.

BPSOS - Vietnam Advocacy Project
6 uur ·
Khẳng định tư cách cử tri, nhiều trăm tín đồ Tin Lành Hmong đi bầu lần đầu sau hơn 21 năm
• Một bước tiến nhằm xoá bỏ tình trạng không giấy tờ tuỳ thân của các người Hmong theo Đạo Tin Lành
Mạch Sống, ngày 24… Meer tháng 5, 2021
Chủ Nhật 23 tháng 5 vừa qua, lần đầu cư dân của Tiểu Khu 179, Xã Liêng Sronh, Huyện Đam Rông, Tỉnh Lâm Đồng bỏ phiếu bầu đại biểu Quốc Hội và Hội Đồng Nhân Dân cấp xã, huyện và tỉnh kể từ khi cộng đồng của họ được hình thành cách đây hơn 21 năm. Đây là thành quả vận động do chính người dân ở tiểu khu này khởi xướng và đã được chính quyền giải quyết thoả đáng và nhanh chóng.
Ngày 4 tháng 5, đại diện cho 597 cư dân của tiểu khu đã gửi văn thư cho… Meer



BPSOS - Vietnam Advocacy Project
6 uur ·
Khẳng định tư cách cử tri, nhiều trăm tín đồ Tin Lành Hmong đi bầu lần đầu sau hơn 21 năm
• Một bước tiến nhằm xoá bỏ tình trạng không giấy tờ tuỳ thân của các người Hmong theo Đạo Tin Lành
Mạch Sống, ngày 24… Meer tháng 5, 2021
Chủ Nhật 23 tháng 5 vừa qua, lần đầu cư dân của Tiểu Khu 179, Xã Liêng Sronh, Huyện Đam Rông, Tỉnh Lâm Đồng bỏ phiếu bầu đại biểu Quốc Hội và Hội Đồng Nhân Dân cấp xã, huyện và tỉnh kể từ khi cộng đồng của họ được hình thành cách đây hơn 21 năm. Đây là thành quả vận động do chính người dân ở tiểu khu này khởi xướng và đã được chính quyền giải quyết thoả đáng và nhanh chóng.
Ngày 4 tháng 5, đại diện cho 597 cư dân của tiểu khu đã gửi văn thư cho… Meer

BPSOS - Vietnam Advocacy Project
6 uur ·

Khẳng định tư cách cử tri, nhiều trăm tín đồ Tin Lành Hmong đi bầu lần đầu sau hơn 21 năm

• Một bước tiến nhằm xoá bỏ tình trạng không giấy tờ tuỳ thân của các người Hmong theo Đạo Tin Lành

Mạch Sống, ngày 24Meer tháng 5, 2021


Chủ Nhật 23 tháng 5 vừa qua, lần đầu cư dân của Tiểu Khu 179, Xã Liêng Sronh, Huyện Đam Rông, Tỉnh Lâm Đồng bỏ phiếu bầu đại biểu Quốc Hội và Hội Đồng Nhân Dân cấp xã, huyện và tỉnh kể từ khi cộng đồng của họ được hình thành cách đây hơn 21 năm. Đây là thành quả vận động do chính người dân ở tiểu khu này khởi xướng và đã được chính quyền giải quyết thoả đáng và nhanh chóng.

Ngày 4 tháng 5, đại diện cho 597 cư dân của tiểu khu đã gửi văn thư cho… Meer",1,3085
1,"Trong cuộc bầu cử ngày 23 tháng 5 năm 2021 vừa qua, một số người Việt Nam đã chọn lựa tẩy chay cuộc bầu cử như một giải pháp duy nhất để chối bỏ sự tồn tại của nhà nước Việt Nam hiện hành. Đây là một cách biểu… Meer đạt trong một trạng thái bất lực vì không biết làm gì hơn.
Bài viết này mong được đóng góp một góc nhìn khác để độc giả có rộng đường dư luân. Tẩy chay bầu cử sẽ không đạt được kết quả gì khi số đông người dân do chịu các áp lực khác nhau nên vẫn đi bầu cử cho xong chuyện. Do đó, cần phải nghĩ đến kế sách khác để có thể đem đến những kết quả mong muốn một cách cụ thể chứ không thể theo một cách làm cũ mà chúng ta vốn biết sẽ không đạt được mục tiêu.

Trong cuộc bầu cử ngày 23 tháng 5 năm 2021 vừa qua, một số người Việt Nam đã chọn lựa tẩy chay cuộc bầu cử như một giải pháp duy nhất để chối bỏ sự tồn tại của nhà nước Việt Nam hiện hành. Đây là một cách biểuMeer đạt trong một trạng thái bất lực vì không biết làm gì hơn.

Bài viết này mong được đóng góp một góc nhìn khác để độc giả có rộng đường dư luân. Tẩy chay bầu cử sẽ không đạt được kết quả gì khi số đông người dân do chịu các áp lực khác nhau nên vẫn đi bầu cử cho xong chuyện. Do đó, cần phải nghĩ đến kế sách khác để có thể đem đến những kết quả mong muốn một cách cụ thể chứ không thể theo một cách làm cũ mà chúng ta vốn biết sẽ không đạt được mục tiêu.


VNCRP.ORG
600 người dân Tiểu Khu 179 đã được cấp giấy tờ tùy thân trước ngày bầu cử
Trong cuộc bầu cử năm 2021 vừa qua, hàng trăm người dân Tiểu Khu 179 đã được cấp giấy tờ tùy thân để tham gia bầu cử sau hơn 20 năm vô hộ tịch, không giấy tờ tùy thân...

VNCRP.ORG
600 người dân Tiểu Khu 179 đã được cấp giấy tờ tùy thân trước ngày bầu cử",1,1882
2,"MỘT CUỘC BIỂU TÌNH ĐƯỢC COI LÀ HỢP PHÁP TẠI VIỆT NAM
Biểu tình là quyền của công dân, được quy định tại Điều 25 Hiến pháp 2013: “Công dân có quyền tự do ngôn luận, tự do báo chí, tiếp cận thông tin, hội họp,… Meer lập hội, biểu tình. Việc thực hiện các quyền này do pháp luật quy định.” Tuy nhiên, quyền biểu tình không phải là một quyền tuyệt đối. Nó bị giới hạn ngay tại khoản 2, Điều 14 Hiến pháp 2013 : “Quyền con người, quyền công dân chỉ có thể bị hạn chế theo quy định của luật trong trường hợp cần thiết vì lý do quốc phòng, an ninh quốc gia, trật tự, an toàn xã hội, đạo đức xã hội, sức khỏe của cộng đồng.”
Ví dụ về giới hạn của quyền biểu tình: Trong thời gian gần đây, tình hình dịch… Meer

MỘT CUỘC BIỂU TÌNH ĐƯỢC COI LÀ HỢP PHÁP TẠI VIỆT NAM

Biểu tình là quyền của công dân, được quy định tại Điều 25 Hiến pháp 2013: “Công dân có quyền tự do ngôn luận, tự do báo chí, tiếp cận thông tin, hội họp,Meer lập hội, biểu tình. Việc thực hiện các quyền này do pháp luật quy định.” Tuy nhiên, quyền biểu tình không phải là một quyền tuyệt đối. Nó bị giới hạn ngay tại khoản 2, Điều 14 Hiến pháp 2013 : “Quyền con người, quyền công dân chỉ có thể bị hạn chế theo quy định của luật trong trường hợp cần thiết vì lý do quốc phòng, an ninh quốc gia, trật tự, an toàn xã hội, đạo đức xã hội, sức khỏe của cộng đồng.”

Ví dụ về giới hạn của quyền biểu tình: Trong thời gian gần đây, tình hình dịch… Meer

",1,1406
3,"

BPSOS - Vietnam Advocacy Project
20 mei om 22:08 ·
Huấn luyện viết báo cáo LHQ về giam giữ tuỳ tiện
Buổi huấn luyện trực tuyến: ngày 1 tháng 6, 2021, 10 am – 11:30am giờ Washington DC
BPSOS cùng với tổ chức Các Nhà Vận Động Nhân Quyền Quốc Tế (IHRA) sẽ đồng tổ… Meer chức buổi huấn luyện trực tuyến về biên soạn bản thỉnh nguyện gửi Tổ Công Tác về Giam Giữ Tuỳ Tiện (WGAD) của LHQ.
Buổi huấn luyện sẽ cung ứng kiến thức tổng quát về các định chế và công cụ nhân quyền của LHQ, các thể thức hoạt động của WGAD, và cách thức từng bước một xây dựng một bản thỉnh nguyện hữu hiệu.
Buổi huấn luyện trực tuyến, với mục đích xây dựng nội lực cho các tổ chức nhân quyền và các người bảo vệ nhân quyền, được cung ứng như một phần của Bộ Phận Giới Trẻ Lãnh Đạo thuộc… Meer



BPSOS - Vietnam Advocacy Project
20 mei om 22:08 ·
Huấn luyện viết báo cáo LHQ về giam giữ tuỳ tiện
Buổi huấn luyện trực tuyến: ngày 1 tháng 6, 2021, 10 am – 11:30am giờ Washington DC
BPSOS cùng với tổ chức Các Nhà Vận Động Nhân Quyền Quốc Tế (IHRA) sẽ đồng tổ… Meer chức buổi huấn luyện trực tuyến về biên soạn bản thỉnh nguyện gửi Tổ Công Tác về Giam Giữ Tuỳ Tiện (WGAD) của LHQ.
Buổi huấn luyện sẽ cung ứng kiến thức tổng quát về các định chế và công cụ nhân quyền của LHQ, các thể thức hoạt động của WGAD, và cách thức từng bước một xây dựng một bản thỉnh nguyện hữu hiệu.
Buổi huấn luyện trực tuyến, với mục đích xây dựng nội lực cho các tổ chức nhân quyền và các người bảo vệ nhân quyền, được cung ứng như một phần của Bộ Phận Giới Trẻ Lãnh Đạo thuộc… Meer

BPSOS - Vietnam Advocacy Project
20 mei om 22:08 ·

Huấn luyện viết báo cáo LHQ về giam giữ tuỳ tiện

Buổi huấn luyện trực tuyến: ngày 1 tháng 6, 2021, 10 am – 11:30am giờ Washington DC

BPSOS cùng với tổ chức Các Nhà Vận Động Nhân Quyền Quốc Tế (IHRA) sẽ đồng tổMeer chức buổi huấn luyện trực tuyến về biên soạn bản thỉnh nguyện gửi Tổ Công Tác về Giam Giữ Tuỳ Tiện (WGAD) của LHQ.

Buổi huấn luyện sẽ cung ứng kiến thức tổng quát về các định chế và công cụ nhân quyền của LHQ, các thể thức hoạt động của WGAD, và cách thức từng bước một xây dựng một bản thỉnh nguyện hữu hiệu.

Buổi huấn luyện trực tuyến, với mục đích xây dựng nội lực cho các tổ chức nhân quyền và các người bảo vệ nhân quyền, được cung ứng như một phần của Bộ Phận Giới Trẻ Lãnh Đạo thuộc… Meer",1,2297
4,"Gần đây, nhiều cá nhân, tổ chức bảo vệ nhân quyền và chính phủ các nước quan tâm tới tình hình sức khỏe của ông Nguyễn Tường Thuỵ - thành viên Hội nhà báo độc lập - người đang chịu bản án hình sự 11 năm tù giam… Meer về tội tuyên truyền chống nhà nước.
Đề Án Dân Quyền mở bản tin cập nhật tình hình sức khỏe của ông Nguyễn Tường Thuỵ để mọi người có cơ hội theo dõi, quan sát và đánh giá các hoạt động cứu hộ nhân nhân đạo mà các cá nhân tổ chức nước ngoài dành cho ông Thuỵ. Bên cạnh đó, mọi người cũng có cơ hội đánh giá mức độ thiện chí đáp ứng của nhà nước Việt Nam trước các đề nghị nhân đạo này.
Bản tin số 1 dưới đây là cuộc trao đổi nhanh của chúng tôi với ông Nguyễn Gia Quốc hiện đang sống ở tiểu bang Minnesota thuộc Hoa Kỳ - thành viên Hội Nhà báo độc lập - phát ngôn viên về vụ án.

Gần đây, nhiều cá nhân, tổ chức bảo vệ nhân quyền và chính phủ các nước quan tâm tới tình hình sức khỏe của ông Nguyễn Tường Thuỵ - thành viên Hội nhà báo độc lập - người đang chịu bản án hình sự 11 năm tù giamMeer về tội tuyên truyền chống nhà nước.

Đề Án Dân Quyền mở bản tin cập nhật tình hình sức khỏe của ông Nguyễn Tường Thuỵ để mọi người có cơ hội theo dõi, quan sát và đánh giá các hoạt động cứu hộ nhân nhân đạo mà các cá nhân tổ chức nước ngoài dành cho ông Thuỵ. Bên cạnh đó, mọi người cũng có cơ hội đánh giá mức độ thiện chí đáp ứng của nhà nước Việt Nam trước các đề nghị nhân đạo này.

Bản tin số 1 dưới đây là cuộc trao đổi nhanh của chúng tôi với ông Nguyễn Gia Quốc hiện đang sống ở tiểu bang Minnesota thuộc Hoa Kỳ - thành viên Hội Nhà báo độc lập - phát ngôn viên về vụ án.

Video afspelen",1,1606
5,"QUYỀN TIẾP CẬN THÔNG TIN CỦA CÔNG DÂN
Ngày 04 tháng 5 năm 2021, Tòa án nhân dân tỉnh Khánh Hòa đã xét xử sơ thẩm vụ án hành chính liên quan đến quyền tiếp cận thông tin. Theo đó, vào năm 2001, Thủ tướng Chính… Meer Phủ ban hành Quyết định số 252/QĐ-TTg về việc thu hồi 180,2 ha tại thôn Phước Hạ, xã Phước Đồng, thành phố Nha Trang, tỉnh Khánh Hòa để làm khu du lịch và giải trí Sông Lô. Vì vậy, chủ tịch Uỷ ban nhân dân tỉnh Khánh Hòa đã thu hồi đất và giao cho công ty TNHH Hoàn Cầu để thực hiện dự án khu du lịch và giải trí Sông Lô.
Ông Nguyễn Văn Bình là một trong những người có đất bị thu hồi, đã có đơn yêu cầu Uỷ ban nhân dân tỉnh Khánh Hòa cung cấp thông tin là giấy chứng nhận đầu tư sân golf… Meer

QUYỀN TIẾP CẬN THÔNG TIN CỦA CÔNG DÂN

Ngày 04 tháng 5 năm 2021, Tòa án nhân dân tỉnh Khánh Hòa đã xét xử sơ thẩm vụ án hành chính liên quan đến quyền tiếp cận thông tin. Theo đó, vào năm 2001, Thủ tướng ChínhMeer Phủ ban hành Quyết định số 252/QĐ-TTg về việc thu hồi 180,2 ha tại thôn Phước Hạ, xã Phước Đồng, thành phố Nha Trang, tỉnh Khánh Hòa để làm khu du lịch và giải trí Sông Lô. Vì vậy, chủ tịch Uỷ ban nhân dân tỉnh Khánh Hòa đã thu hồi đất và giao cho công ty TNHH Hoàn Cầu để thực hiện dự án khu du lịch và giải trí Sông Lô.

Ông Nguyễn Văn Bình là một trong những người có đất bị thu hồi, đã có đơn yêu cầu Uỷ ban nhân dân tỉnh Khánh Hòa cung cấp thông tin là giấy chứng nhận đầu tư sân golf… Meer

",1,1422
7,"“CỰU” CÔNG AN HÀNH HUNG MẸ CỦA TÙ NHÂN LƯƠNG TÂM TRẦN HOÀNG PHÚC
Theo trang Facebook cá nhân của Bà Huỳnh Thị Út - mẹ của tù nhân lương tâm Trần Hoàng Phúc, ngày 06/05/2021, cựu công an Trần Văn Có, trước đây… Meer đã từng công tác tại Công an Phường 4, quận Tân Bình, thành phố Hồ Chí Minh đã hành hung Bà Út tại nhà riêng của Bà. Chiều cùng ngày, Bà Út đã đến Công an Phường 03, quận Tân Bình, thành phố Hồ Chí Minh trình báo vụ việc trên.
Theo bản tường trình, vào lúc 14h14 phút ngày 06/05/2021, sau khi đi công chuyện, Bà Út về nhà tại địa chỉ 154/45 Phạm Văn Hai, phường 3, quận Tân Bình, Tp. Hồ Chí Minh. Bà Út thấy có người đang đào đường làm cống bên cạnh nhà nên Bà có lại nói chuyện về việc xung… Meer

“CỰU” CÔNG AN HÀNH HUNG MẸ CỦA TÙ NHÂN LƯƠNG TÂM TRẦN HOÀNG PHÚC

Theo trang Facebook cá nhân của Bà Huỳnh Thị Út - mẹ của tù nhân lương tâm Trần Hoàng Phúc, ngày 06/05/2021, cựu công an Trần Văn Có, trước đâyMeer đã từng công tác tại Công an Phường 4, quận Tân Bình, thành phố Hồ Chí Minh đã hành hung Bà Út tại nhà riêng của Bà. Chiều cùng ngày, Bà Út đã đến Công an Phường 03, quận Tân Bình, thành phố Hồ Chí Minh trình báo vụ việc trên.

Theo bản tường trình, vào lúc 14h14 phút ngày 06/05/2021, sau khi đi công chuyện, Bà Út về nhà tại địa chỉ 154/45 Phạm Văn Hai, phường 3, quận Tân Bình, Tp. Hồ Chí Minh. Bà Út thấy có người đang đào đường làm cống bên cạnh nhà nên Bà có lại nói chuyện về việc xung… Meer

Deze inhoud is momenteel niet beschikbaar
Dit gebeurt doorgaans doordat de eigenaar de bijlage alleen heeft gedeeld met een kleine groep mensen, de eigenaar heeft gewijzigd wie de bijlage kan zien of omdat de bijlage is verwijderd.",1,1659
8,"BẦU CỬ LÀ QUYỀN HAY CÒN LÀ NGHĨA VỤ
Tham gia bầu cử đại biểu Quốc hội và đại biểu Hội đồng nhân dân các cấp vừa là quyền và cũng là nghĩa vụ của công dân. Đây cũng là câu khẩu hiệu cổ động “quen thuộc” với… Meer người dân khi nhà nước Việt Nam chuẩn bị tổ chức hoạt động chính trị quan trọng này.
Nhưng có thực tham gia bầu cử vừa là quyền và cũng là nghĩa của công dân hay không? Cũng không khó để trả lời cho câu hỏi này.
Công ước Quốc tế về các quyền dân sự và chính trị của Liên Hiệp Quốc dành điểm a và b của Điều 25 quy định về quyền chính trị của mỗi công dân được tham gia vào hoạt động quản lý nhà nước, được bầu cử và ứng cử trong các cuộc bầu cử định kỳ quốc gia.
Công ước Quốc tế về các quyền… Meer

BẦU CỬ LÀ QUYỀN HAY CÒN LÀ NGHĨA VỤ

Tham gia bầu cử đại biểu Quốc hội và đại biểu Hội đồng nhân dân các cấp vừa là quyền và cũng là nghĩa vụ của công dân. Đây cũng là câu khẩu hiệu cổ động “quen thuộc” vớiMeer người dân khi nhà nước Việt Nam chuẩn bị tổ chức hoạt động chính trị quan trọng này.

Nhưng có thực tham gia bầu cử vừa là quyền và cũng là nghĩa của công dân hay không? Cũng không khó để trả lời cho câu hỏi này.

Công ước Quốc tế về các quyền dân sự và chính trị của Liên Hiệp Quốc dành điểm a và b của Điều 25 quy định về quyền chính trị của mỗi công dân được tham gia vào hoạt động quản lý nhà nước, được bầu cử và ứng cử trong các cuộc bầu cử định kỳ quốc gia.

Công ước Quốc tế về các quyền… Meer

",1,1426
9,"Về tội “Truyền bá văn hóa phẩm đồi trụy” trong vụ quán bar Sunny Phúc Yên.
Thời gian gần đây, trên mạng xã hội đăng tải và chia sẻ các clip “nóng” cho rằng được ghi hình tại quán bar Sunny Phúc Yên- nơi được… Meer coi là ""ổ dịch"" trên địa bàn tỉnh Vĩnh Phúc, sau khi phát hiện nhiều ca mắc COVID-19 bị lây nhiễm từ đây. Đặc biệt, nhiều người đăng tải hoặc chia sẻ các clip nhưng chưa có sự kiểm chứng rằng các clip này có thực sự được ghi hình tại quán bar Sunny hay không. Và dù cho các clip này thực sự được ghi hình tại quán bar Sunny thì những người đăng tải, chia sẻ các clip này cũng dễ vướng phải các rủi ro pháp lý liên quan.
Theo trang vtv.vn đăng ngày 11/05/2021, Cơ quan Cảnh sát điều tra Công… Meer

Về tội “Truyền bá văn hóa phẩm đồi trụy” trong vụ quán bar Sunny Phúc Yên.

Thời gian gần đây, trên mạng xã hội đăng tải và chia sẻ các clip “nóng” cho rằng được ghi hình tại quán bar Sunny Phúc Yên- nơi đượcMeer coi là ""ổ dịch"" trên địa bàn tỉnh Vĩnh Phúc, sau khi phát hiện nhiều ca mắc COVID-19 bị lây nhiễm từ đây. Đặc biệt, nhiều người đăng tải hoặc chia sẻ các clip nhưng chưa có sự kiểm chứng rằng các clip này có thực sự được ghi hình tại quán bar Sunny hay không. Và dù cho các clip này thực sự được ghi hình tại quán bar Sunny thì những người đăng tải, chia sẻ các clip này cũng dễ vướng phải các rủi ro pháp lý liên quan.

Theo trang vtv.vn đăng ngày 11/05/2021, Cơ quan Cảnh sát điều tra Công… Meer

",1,1424
10,"VINFAST VÀ CÂU CHUYỆN VỀ SỰ LỰA CHỌN HÀNH VI
Tuần qua, dư luận người Việt nóng ran bởi câu chuyện tập đoàn Vinfast báo công an về việc ông Trần Văn Hoàng, một khách hàng của mình đã phát tán thông tin trên mạng… Meer Internet phàn nàn về chất lượng sản phẩm của tập đoàn này.
Theo như tác giả Võ Văn Quản viết trên Luật Khoa tạp chí thì hành vi “méc công an, kiện ra công an” thực sự là “một thứ văn hoá pháp lý rùng rợn.” Cũng theo tác giả, việc này xuất phát từ 3 nguyên nhân: “Một, chính quyền đầu têu trong việc sử dụng công an để bịt miệng những người chỉ trích mình. Hai, hệ thống pháp luật Việt Nam có hàng loạt công cụ để chính quyền có thể sử dụng trong việc đàn áp các tiếng nói “trái tai” cũng… Meer

VINFAST VÀ CÂU CHUYỆN VỀ SỰ LỰA CHỌN HÀNH VI

Tuần qua, dư luận người Việt nóng ran bởi câu chuyện tập đoàn Vinfast báo công an về việc ông Trần Văn Hoàng, một khách hàng của mình đã phát tán thông tin trên mạngMeer Internet phàn nàn về chất lượng sản phẩm của tập đoàn này.

Theo như tác giả Võ Văn Quản viết trên Luật Khoa tạp chí thì hành vi “méc công an, kiện ra công an” thực sự là “một thứ văn hoá pháp lý rùng rợn.” Cũng theo tác giả, việc này xuất phát từ 3 nguyên nhân: “Một, chính quyền đầu têu trong việc sử dụng công an để bịt miệng những người chỉ trích mình. Hai, hệ thống pháp luật Việt Nam có hàng loạt công cụ để chính quyền có thể sử dụng trong việc đàn áp các tiếng nói “trái tai” cũng… Meer

",1,1424
