,content,label,avg_length
1,"NHÀ CHO CÔNG NHÂN QUÁ ÍT!

Phạm Nhật Bình - Việt Tân

Đó là lời than thở của ông Nguyễn Xuân Phúc sau 5 năm giữ chức thủ tướng, người vừa được quốc hội khóa cũ bầu lên làm chủ tịch nước và đang chờ quốc hội khóa mới bầu lại cho đúng quy trình.

Tuần trước, khi đến tiếp xúc cử tri huyện Củ Chi, ông Nguyễn Xuân Phúc trong tư cách là ứng cử viên quốc hội khoá 15, đã đề cập về “dân chủ tào lao” vô tình phô bày kiến thức hạn hẹp về dân chủ của mình. Một tuần sau đó, ông Phúc đến thăm cử tri huyện Hóc Môn và tỏ ra ưu tư cho giai cấp tiên phong của đảng: “Nhà cho công nhân quá ít, trong khi nhà bán cho người giàu thì quá nhiều.” Ít ra ông cũng nêu lên được một thực tế trong tình trạng xã hội hiện nay,…",1,704
2,"Vài trao đổi cùng “bác cả” Trọng... về ""kinh tế thị trường định hướng XHCN""

Bài viết với nhan đề ‘Một số vấn đề lý luận và thực tiễn về chủ nghĩa xã hội và con đường đi lên chủ nghĩa xã hội ở Việt Nam’ của Tổng Bí thư Đảng cộng sản Việt Nam Nguyễn Phú Trọng đã bị nhiều ý kiến phản bác.
Tác già Lưu trọng Văn đặc biệt chú ý đến phần ông Trọng nói về kinh tế thị trường định hướng XHCN.

Bài 'Vài trao đổi cùng “bác cả” Trọng' - Lưu Trọng Văn

#ViệtTân #NguyễnPhúTrọng

Nếu không xem được trên YouTube, bạn có thể vào link này để xem: 
DO YOUTUBE BỊ NHÀ CẦM QUYỀN CSVN ÁP LỰC NGĂN CHẶN MỘT CÁCH BẤT HỢP PHÁP KHÔNG CHO NHIỀU VIDEO CỦA VIỆT TÂN ĐƯỢC XEM Ở VIỆT NAM

VIMEO.COM
Vài trao đổi cùng “bác cả” Trọng về ""kinh tế thị trường định hướng XHCN""",1,818
3,"BẦU CỬ KIỂU Ở VN XÃ NGHĨA

Nguyễn Doãn Đôn

TA ĐI BẦU CỬ TỰ DO
CHỌN NGƯỜI TỬ TẾ MÀ CHO VÀO HÒM

Bầu cử kiểu ở VN thì không nên đi bầu làm gì! Vì nước ta chưa có nền Dân chủ. Chúng ta chưa được tự thành lập hội đoàn và đảng phái. Thế nên ta chỉ có duy nhất một đảng lãnh đạo thì bầu có tác dụng gì?

Độc đảng lại chỉ đạo bầu cử từ A tới Z các Hội nghị Hiệp thương để xét duyệt người đề cử và ứng cử của cấp dưới gửi lên bầu tuy bề ngoài là Mặt trận tổ quốc đứng lên nhưng kỳ thực thì cũng do đảng CS quyết và vạch ra hướng đi cả. Số đề cử và ứng cử lại xét duyệt phần lớn là thành phần Đảng viên, chỉ có khoảng 5 % là ngoài đảng.

Mà số ngoài đảng này lại nhiều người nằm trong các Hội và tổ chức mà đảng…",1,704
4,"Nguyễn Phú Trọng và con đường tiến lên xã hội chủ nghĩa

Trung Điền - Việt Tân

Mới đây, ông Nguyễn Phú Trọng, Tổng Bí Thư đảng CSVN và cũng là một nhà lý thuyết về “chủ nghĩa xã hội,” đã có một bài viết khá dài, hơn 8 ngàn chữ có tựa đề “Một số vấn đề lý luận và thực tiễn về chủ nghĩa xã hội và con đường đi lên chủ nghĩa xã hội ở Việt Nam.” Bài viết đã được các báo lề đảng “đồng loạt” loan tải, nhân dịp kỷ niệm 131 năm ngày sinh của ông Hồ.

Đúng ra, đây là bài giảng chính trị dành cho cán bộ đảng viên trong đảng CSVN hơn là cho đối tượng quần chúng, với nội dung một chiều, tô vẽ sự “tài tình” của lãnh đạo về việc giữ vững ngọn cờ chủ nghĩa xã hội sau khi khối Liên Xô sụp đổ (1991), chỉ…",1,697
5,"BẦU

Nguyễn Thông

Cứ như tivi báo chí truyền thông mậu dịch suốt thời gian qua, như ông trùm phú lít nói, thì các thế lực thù địch đang chống phá quyết liệt, tìm mọi cách phá hoại cuộc bầu cử của ""chúng ta"".

Ôi giời, bầu cử chứ có phải chiến tranh, đấu tố, giết người đâu mà các bố cứ làm cho dân chúng căng thẳng, sợ bỏ mẹ. Biết trúng trật cả rồi, bầu cho nó xong, ai mà thèm chống mí phá.

Ông thì bảo ngày hội của toàn dân, ông thì kêu đề cao cảnh giác bọn chống phá, chả biết lối mô mà lần.

Tôi nói thật, đời tôi đã đi bầu cử ối lần (không kể những lần bầu bí thư chi đoàn, tổ trưởng dân phố...), chưa bao giờ thấy căng thẳng và mắc cười như lần này./.

#bầucửquốchội2021",1,678
6,"Phạm Minh Chính: Dự án, mối quan hệ và sự nghiệp

Nếu không xem được trên YouTube, bạn có thể vào link này để xem: 
DO YOUTUBE BỊ NHÀ CẦM QUYỀN CSVN ÁP LỰC NGĂN CHẶN MỘT CÁCH BẤT HỢP PHÁP KHÔNG CHO NHIỀU VIDEO CỦA VIỆT TÂN ĐƯỢC XEM Ở VIỆT NAM
----------
Sau khi vào trung ương đảng vào ngày 18/1/2011, thì ông Phạm Minh Chính được ông Nguyễn Tấn Dũng đề xuất lên Bộ Chính Trị, bổ về làm bí thư tỉnh Quảng Ninh để triển khai dự án Đặc khu kinh tế Vân Đồn. Đến ngày 8/8/2011, ông Phạm Minh Chính nhận quyết định của Bộ Chính Trị cho thôi chức thứ trưởng Bộ Công An, để nhậm chức bí thư tỉnh Quảng Ninh.

Khi nhậm chức mới, ông Phạm Minh Chính đã ngay lập tức cho khởi động việc…

VIMEO.COM
Phạm Minh Chính: dự án, mối quan hệ và sự nghiệp",1,764
7,"Sự pha trộn bóng đá và chính trị ở Trung Quốc

Nguồn: “China’s football troubles reflect broader issues within the economy”, The Economist, 15/05/2021 - Biên dịch: Phan Nguyên - Nghiên Cứu Quốc Tế

Đó là một buổi tối nóng bức ngột ngạt để có thể chơi bóng đá. Vì những hạn chế chống Covid-19, trận đấu được diễn ra tại một địa điểm trung lập, cách Thượng Hải gần ba giờ ô tô. Một điều bất tiện khác là trận đấu bắt đầu vào lúc 6 giờ chiều ngày thứ Hai. Tuy nhiên, vài nghìn người hâm mộ vẫn thực hiện chuyến đi vào ngày 10 tháng 5 để đến xem đội bóng địa phương yêu quý của họ, Shenhua, đấu với một câu lạc bộ đến từ Hà Bắc, một tỉnh phía bắc Trung Quốc. A.G. Wan, một doanh nhân trung niên, cho biết:… More",1,707
8,"Bầu cử Quốc hội: Ta có quyền hy vọng gì?

Văn Thương - Luật Khoa Tạp Chí
Hội đồng Bầu cử Quốc gia vậy là đã nhắn tin cho tôi đến lần thứ ba. Nội dung thì chỉ có một.

“Sáng suốt lựa chọn những người tiêu biểu về đức, tài, xứng đáng đại diện cho ý chí, nguyện vọng và quyền làm chủ của Nhân dân bầu vào Quốc hội khóa XV và Hội đồng nhân dân các cấp nhiệm kỳ 2021-2026!”

Tôi chắc chắn không phải là công dân đặc biệt gì để mà được nhắn tin riêng. Nói thẳng ra, họ spam tin nhắn SMS đó đến điện thoại của người dân cả nước. Từ giờ cho đến ngày bầu cử vào Chủ nhật tới, chắc chắn sẽ còn vài lần. Cái câu dài 44 chữ trên kia còn được nhân giống vô tính trên hằng hà sa số các biểu ngữ, băng-rôn trên đường…",1,702
9,"Giải mã về đội dân quân biển của Trung Quốc

Tác giả: Ryan Martinson - Anh Khoa dịch - Nguồn: CIMSEC

(VNTB) – Chính phủ Trung Quốc, cả ở cấp trung ương và địa phương, đã phân bổ một số tiền lớn để bồi hoàn cho các chủ tàu đánh cá sẵn sàng đóng mới các tàu ở Trường Sa.

***

Một tàu cá Trung Quốc xuất hiện ở một địa điểm nhạy cảm — gần quần đảo Senkaku/Điếu Ngư ở Biển Hoa Đông, một rạn san hô ở Biển Đông, hoặc chỉ cách xa một căn cứ quân sự của Hoa Kỳ. Đó là một tàu đánh cá “bình thường” hay là lực lượng dân quân hàng hải?

Câu hỏi đơn giản này hiếm khi có câu trả lời đơn giản. Trung Quốc không công bố danh sách các tàu dân quân hàng hải. Điều đó sẽ làm giảm lợi thế chính của dân quân biển — bí…",1,704
10,"Đặng Hoàng Đa chỉ bị cảnh cáo: Tô Lâm dễ dãi với đồng đảng, nghiệt ngã với đồng bào!

Ủy ban Kiểm tra của Ban Chấp hành Trung ương đảng CSVN vừa quyết định “nhất trí"" với đề nghị của Thường vụ Đảng ủy Công an Trung ương … chỉ cảnh cáo Thiếu tướng Đặng Hoàng Đa, Cục phó Cục Xây dựng phong trào toàn dân bảo vệ an ninh tổ quốc của Bộ Công an Việt Nam, người đã ""sử dụng sai trái"" 46 tỷ đồng Quỹ Sản xuất của Công an tỉnh Sóc Trăng!!

Trích bài Dễ dãi với đồng đảng, nghiệt ngã với đồng bào! - Trân Văn

#ViệtTân #TôLâm #ĐặngHoàngĐa #thamnhũng

YOUTUBE.COM
Đặng Hoàng Đa chỉ bị cảnh cáo: Tô Lâm dễ dãi với đồng đảng, nghiệt ngã với đồng bào!",1,683
11,"‘Tào lao Việt Nam’: Câu chuyện nhiều tập‘Tào lao Việt Nam’: Câu chuyện nhiều tập

Hoàng Trường (Gởi VOA từ Sài Gòn)

Từ tuyên bố của Chủ tịch nước, Tổng bí thư đến các phát biểu của Thủ tướng, kèm theo đó là những chủ trương trái khoáy… con dân nước Việt hàng ngày hàng giờ phải chứng kiến biết bao điều tầm phào và sáo rỗng.

Tuyên bố của Nguyễn Xuân Phúc

Ông Nguyễn Xuân Phúc có lẽ là nguyên thủ hiếm hoi trong lịch sử nước nhà, vì đã để lại những phát ngôn “có cánh”. Từ cách gọi tắt 4 nước ASEAN là “cờ-lờ-mờ-vờ” hồi đứng đầu cái nội các của “hậu Ba A-Tí” (Y-Tá Nguyễn Tấn Dũng) cho đến tuyên bố mới đây nhất về một nền “dân chủ tào lao” nào đó. Trong tuyên bố ngắn ngủn “Đảng luôn xem trọng ý kiến…",1,704
12,"Người - Thật ra người là ai?
LS Lê Quốc Quân

Mai là 19/5. Loa khắp thôn xóm đã rao mừng SN của ""Người"". Còn sau đây là những sự thật được ghi lại về ngày sinh của cố Chủ tịch Hồ Chí Minh

- Đơn xin học Trường hành chính thuộc địa năm 1911, ông ghi sinh năm 1892. (Nếu được nhận thì thường học xong về làm quan cai trị, nhưng rất tiếc không được nhận do một hành vi sai phạm của ông Bố). Các bạn có thể xem đơn bằng tiếng Pháp ở hình dưới đây.

- Khai tại cảnh sát quận tại Paris, ông ghi sinh ngày 18-1-1894.

- Trong đơn xin vào Hội Tam Điểm (Franc-Maçonnerie) vào đầu năm 1922, Hồ Chí Minh, lúc đó lấy tên là Nguyễn Ái Quốc, ghi trong phiếu cá nhân rằng ông sinh ngày 15-2-1895.

- Mật thám Pháp…",1,700
13,"Chủ tịch Nhà nước và… ‘lý trưởng mới’!

Trân Văn - VOA

Ông Nguyễn Xuân Phúc, tân Chủ tịch Nhà nước Cộng hòa XHCN Việt Nam lại tiếp tục làm thiên hạ nhíu mày. Nếu ai đó cả nghĩ ắt sẽ… buốt óc mà vẫn không thể hiểu được tại sao Chủ tịch Nhà nước lại nghĩ và phát biểu như thế!

***

Báo chí Việt Nam cho biết, ông Phúc mới có thêm một cuộc tiếp xúc nữa với cử tri Đơn vị bầu cử số 10 của TP.HCM (bao gồm hai huyện Hóc Môn và Củ Chi) trong vai Ứng cử viên (ƯCV) Đại biểu Quốc hội khóa 15.

Lần tiếp xúc này, ƯCV Nguyễn Xuân Phúc không tiếp xúc trực tiếp mà gặp gỡ cử tri thông qua Internet. Sau khi nghe một số cử tri than phiền về quy hoạch Khu Đô thị Tây Bắc Củ Chi (soạn - phê duyệt cách nay mười năm rồi…",1,706
14,"Người dân Việt Nam Tốn bao nhiêu tiền để bầu ra một đại biểu dân cử?

Ngày 23/5 tới đây, sẽ có hơn 300 ngàn người được bầu chọn làm đại biểu, từ Quốc hội đến các hội đồng nhân dân cấp xã.
Những tấm áp-phích bầu cử, những lá cờ trang trí, những chiếc thẻ cử tri đều do ngân sách nhà nước chi trả, tức chính là tiền của người dân.
Bạn có biết chính quyền trung ương và các địa phương đã dự toán kinh phí bầu cử như thế nào, và tốn bao nhiêu tiền để bầu ra một đại biểu dân cử?

Trích bài Người dân Việt Nam Tốn bao nhiêu tiền để bầu ra một đại biểu dân cử? - Hồng Anh - Luật Khoa Tạp Chí

#ViệtTân #bầucửquốchội

YOUTUBE.COM
Người dân Việt Nam Tốn bao nhiêu tiền để bầu ra một đại biểu dân cử?",1,735
15,"Nhà giáo Phạm Minh Hoàng: bầu cử ở Việt Nam chỉ có tuyên truyền không có tranh cử

Ngày 23 tháng 5 là ngày đảng và nhà nước CSVN tổ chức bầu cử Quốc hội khóa 15 & Hội đồng Nhân dân các cấp nhiệm kỳ 2021-2026… Đây là một sự kiện quan trọng đối với đảng csvn, diễn ra sau Đại hội 13.
Trong chương trình Câu Chuyện Trong Tuần, nhà giáo Phạm Minh Hoàng chia sẻ quan điểm của ông về cuộc bầu cử này.

#ViệtTân #bầucửquốchội #PhạmMinhHoàng


YOUTUBE.COM
Nhà giáo Phạm Minh Hoàng: bầu cử ở Việt Nam chỉ có tuyên truyền không có tranh cử",1,573
16,"CHẮC DÂN VIỆT LÀ NHỮNG ĐỨA TRẺ LÊN BA?

Nguyen Khan

Khi báo Hội Nhập viết ""Tập đoàn Công Thanh sẽ được vay tỉ đô để triển khai dự án năng lượng sạch"".

Chắc không ít người Việt vui mừng như những đứa trẻ lên ba, vì có thêm điện sạch sử dụng tránh cảnh thiếu điện và ô nhiễm môi trường từ xỉ than.

Song khi đọc toàn bộ nội dung bài báo mới té ngửa khi biết năng lượng sạch ấy là ""Dự án năng lượng sạch nhiệt điện than"", bên cho vay là nước phát xít trùm lưu manh Trung Cộng chuyên cài bẫy nợ mua đểu và rẻ tài nguyên và đất đai địa chính trị của các nước con nợ để trừ nợ khi con nợ không trả nỗi nợ, và Wuhan là địa điểm tập đoàn Công Thanh ký vay tiền của kẻ thù cướp biển đảo Việt Nam, cũng là nơi…",1,702
17,"VIỆT NAM ĐANG QUÁ CHẬM TRÊN CON ĐƯỜNG MIỄN DỊCH CỘNG ĐỒNG

Nguyễn Ngọc Chu

1. Việt Nam đã thành công ở giai đoạn đầu chống dịch bệnh Covid -19. Với cách chọn các biện pháp quân phiệt giản đơn: truy vết, khoanh vùng, cách ly, đóng cửa – Việt Nam đã hạn chế tối đa số lượng lây lan và số người chết vì dịch bệnh Covid-19.

Việt Nam dễ dàng thực thi được các biện pháp cách ly, đóng cửa ở bất cứ nơi nào có dấu hiệu dịch bệnh - là vì nền kinh tế của Việt Nam còn nhỏ, và vì người Việt Nam mấy chục năm qua đã quá quen chịu đựng tình trạng chiến tranh và các biện pháp quản trị mệnh lệnh. Nhưng dù với nguyên nhân gì, thì vẫn khẳng định rằng Việt Nam đã thành công ở gia đoạn đầu về ngăn chặn dịch bệnh…",1,700
18,"LENIN VÀ ĐÁM MÙ LÒA

Đỗ Ngà

Trong triết học, Lenin đã nói rằng “phát triển là sự đấu tranh giữa các mặt đối lập”, như vậy để có một nhà nước phát triển thì phải chấp nhận sự tồn tại đối lập chính trị chứ? Rất tiếc, Lenin nhận xét chuẩn nhưng ông ta lại làm ngược lại. Nhìn lại con đường phát triển các nước có đối lập chính trị thì ai cũng thấy được sự tiến bộ của nó là do đối lập chính trị mà ra. Những nước tiến bộ bật nhất thế giới hiện nay đều là những nước có đối lập chính trị. Ngược lại, những nước không đối lập chính trị đều là những nước kém phát triển.

Người CS nổi tiếng là nói một đằng làm một nẻo, ông Lenin luôn dạy người dân là “Phát triển là sự đấu tranh giữa các mặt đối lập” nhưng…",1,703
19,"Tại sao đảng CSVN nhất định phải bắt dân đi bỏ phiếu bầu cử quốc hội

Tại Việt Nam, người ta luôn cảm thấy tức cười khi nghĩ tới chuyện bầu cử. Bất kỳ cuộc bầu cử nào, từ cấp trung ương cho đến cấp địa phương, hầu hết đều cho thấy tính khôi hài. Bởi dân chưa bầu thì người ta đã biết ông nào làm vị trí nào, bà nào ngồi ghế nào và chuyện dân đi bầu chỉ là chuyện trò cười của các ông bà. Bởi cho dù có hàng triệu người gạch bỏ cái tên nào đó thì tỉ lệ phiếu bầu của nó vẫn 100% đắc cử, tín nhiệm. Bởi chuyện bầu bán ở đây không có ý nghĩa nào về việc nhân dân có tín nhiệm hay không, mà nó là bài toán đối ngoại trong chính trị độc tài.

Trích bài Chuyện chống dịch, chuyện bầu cử - VietTuSaiGon

#ViệtTân #bầucửquốchội

Nếu không xem được trên YouTube, bạn có thể vào link này để xem: 
NHÀ NƯỚC CS VIỆT NAM KHÔNG MUỐN CHO NGƯỜI DÂN XEM VIDEO NÀY.
DO YOUTUBE BỊ NHÀ CẦM QUYỀN CSVN ÁP LỰC NGĂN CHẶN MỘT CÁCH BẤT HỢP PHÁP KHÔNG CHO NHIỀU VIDEO CỦA VIỆT TÂN ĐƯỢC XEM Ở VIỆT NAM NÊN CHÚNG TÔI ĐĂNG LẠI MỘT SỐ NHỮNG VIDEO NÀY.

VIMEO.COM
Tại sao đảng CSVN nhất định phải bắt dân đi bỏ phiếu bầu cử quốc hội_",1,1174
