,content,label,avg_length
1,"THẦY GIÁO THỂ HIỆN VĂN HÓA ĐẢNG?

Khoảng Trời Có Mưa
1 tháng 5 lúc 23:02 ·

Không biết với những hành vi như thế của một giáo viên đại diện ngành giáo dục thì trách nhiệm trước pháp luật và toàn xã hội sẽ làKhác tạm đình chỉ giảng dạy hay là phải xử lý hình sự?!
Thầy giáo mà cứ ngỡ m.a cô!


Khoảng Trời Có Mưa
1 tháng 5 lúc 18:02 ·

Không biết với những hành vi như thế của một giáo viên đại diện ngành giáo dục thì trách nhiệm trước pháp luật và toàn xã hội sẽ là tạm đình chỉ giảng dạy hay là phải xử lý hình sự?!
Thầy giáo mà cứ ngỡ m.a cô!

Like Page 👉 👉

Khoảng Trời Có Mưa",1,644
2,"Nguyễn Đình Cống
3 giờ ·
THƯ TRẢ LỜI CỦA BỘ TRƯỞNG
Tôi vừa nhận thư trả lời của Bộ trưởng, chép lên đây để các ban xem.
Kính gửi Thầy Nguyễn Đình Cống
Xin trân trọng cảm ơn những lời thẳng thắn, chân thànhKhác và trách nhiệm của Thầy. Thầy và các Thầy Cô đồng nghiệp khác nếu có các ý kiến tư vấn gì cụ thể hơn xin lại gửi vào địa chỉ email này.
Kính chúc Thầy mạnh khỏe
Trân trọng
Nguyễn Kim Sơn

Tạm thời biết như vậy. Sau này chưa biết như thế nào, Cần theo dõi tiếp, đặc biệt khi Bộ trưởng biết rõ sự thật về Ng Đ Cống đã từ bỏ ĐCS và đang bị theo dõi, tự ứng cử vào QH và đã bị loại từ vòng gửi xe.
Dù sao cũng là một tín hiệu tốt. Chờ xem tiếp.


Nguyễn Đình Cống
25 tháng 4 lúc 15:10 ·

THƯ TRẢ LỜI CỦA BỘ TRƯỞNG

Tôi vừa nhận thư trả lời của Bộ trưởng, chép lên đây để các ban xem.

Kính gửi Thầy Nguyễn Đình Cống

Xin trân trọng cảm ơn những lời thẳng thắn, chân thành và trách nhiệm của Thầy. Thầy và các Thầy Cô đồng nghiệp khác nếu có các ý kiến tư vấn gì cụ thể hơn xin lại gửi vào địa chỉ email này.

Kính chúc Thầy mạnh khỏe

TrânKhác trọng

Nguyễn Kim Sơn

Tạm thời biết như vậy. Sau này chưa biết như thế nào, Cần theo dõi tiếp, đặc biệt khi Bộ trưởng biết rõ sự thật về Ng Đ Cống đã từ bỏ ĐCS và đang bị theo dõi, tự ứng cử vào QH và đã bị loại từ vòng gửi xe.
Dù sao cũng là một tín hiệu tốt. Chờ xem tiếp.",1,1384
20,"KHÔNG BIẾT NHỤC SAO CÒN TỰ HÀO?

Đảng csVn đưa vào sách giáo khoa dạy cho các thế hệ trẻ rằng: ""đất nước ta giàu và đẹp. Có rừng vàng, biển bạc, khoáng sản, dầu mỏ....bao la"". Rồi đảng vỗ ngực tự hào vì thếKhác hệ của họ đã bán đổ, bán tháo, bán sạch sành sanh các tài nguyên mà tổ tiên đã để lại ấy. Lý do tự hào của họ đưa ra là: thế hệ cháu con sẽ không còn dựa vào tài nguyên thiên nhiên nữa, mà con đường duy nhất muốn tồn tại là phải học?

Ôi! Ăn hết phần của con cháu mà tự hào sao mấy ông cộng sản? Trên đời này có loài gì dành ăn với con cháu mà vỗ ngực tự hào hả trời? Thử quan sát xem loài Ong, loài Kiến còn biết tìm kiếm tích trữ lương thực về cho những ổ trứng chưa nở của chúng nữa là. Xem ra lương tri, trách nhiệm của đảng csVn còn không bằng loài côn trùng, chớ đừng nói là quang vinh, vĩ đại!

Lẽ ra, đảng các người phải biết nhục với con cháu vì thế hệ mình dành ăn hết phần của chúng. Cớ sao lại còn tự hào?


Ngô Trường An
26 tháng 5, 2020 lúc 15:27 ·

KHÔNG BIẾT NHỤC SAO CÒN TỰ HÀO?

Đảng csVn đưa vào sách giáo khoa dạy cho các thế hệ trẻ rằng: ""đất nước ta giàu và đẹp. Có rừng vàng, biển bạc, khoáng sản, dầu mỏ....bao la"". Rồi đảng vỗ ngực tự hào vì thếKhác hệ của họ đã bán đổ, bán tháo, bán sạch sành sanh các tài nguyên mà tổ tiên đã để lại ấy. Lý do tự hào của họ đưa ra là: thế hệ cháu con sẽ không còn dựa vào tài nguyên thiên nhiên nữa, mà con đường duy nhất muốn tồn tại là phải học?

Ôi! Ăn hết phần của con cháu mà tự hào sao mấy ông cộng sản? Trên đời này có loài gì dành ăn với con cháu mà vỗ ngực tự hào hả trời? Thử quan sát xem loài Ong, loài Kiến còn biết tìm kiếm tích trữ lương thực về cho những ổ trứng chưa nở của chúng nữa là. Xem ra lương tri, trách nhiệm của đảng csVn còn không bằng loài côn trùng, chớ đừng nói là quang vinh, vĩ đại!

Lẽ ra, đảng các người phải biết nhục với con cháu vì thế hệ mình dành ăn hết phần của chúng. Cớ sao lại còn tự hào?",1,2015
28,"
TUOITRE.VN
Hàng ngàn người tiễn biệt cố Thứ trưởng Bộ GD-ĐT Lê Hải An

Trần Đăng Quang
15 tháng 12, 2019 lúc 07:10 ·

Võ An Đôn
AI ĐÃ GIẾT THỨ TRƯỞNG LÊ HẢI AN ?

Thứ trưởng Lê Hải An 48 tuổi, được Đảng cơ cấu thay Bộ trưởng giáo dục Phùng Xuân Nhạ, đã chết đột tử một cách lãng xẹt (rơi từ tầng 8 trụ sở Bộ giáo dục xuống đất,Khác nhưng không bị trầy xước và không chảy máu).

Sau 5 ngày đột tử, các cơ quan bảo vệ pháp luật vẫn chưa tìm ra hung thủ giết người, vội vàng cho hỏa táng thi thể nạn nhân, cho dù gia đình van xin được chôn cất theo tập quán.

Thứ trưởng Lê Hải An chết một cách đầy bí ấn, để lại sự nghi ngờ trong nội bộ Đảng và dư luận ngoài xã hội.

Đốt xác là cách xóa dấu vết tội phạm nhanh nhất, chỉ có các tổ chức tội phạm Mafia mới sử dụng biện pháp này.",1,834
29,"Lý thuyết cai trị dân bằng bạo lực ""cách mạng"" mà nhà cầm quyền CSVN vẫn kiên định, vẫn áp đặt chương trình giáo dục thì làm sao ở VN có được một nền giáo dục nhân văn. Mọi biểu hiện mang tính phổ biến trong xãKhác hội nói chung và trong ngành giáo dục nói riêng nó là kết quả của việc thực hiện chủ nghĩa Mác - Lê.


VTV.VN
Sự sụp đổ của giáo dục đồng nghĩa với sự sụp đổ của một quốc gia",1,501
32,"Nghi Vấn Thứ trưởng Bộ Giáo Dục Đào Tạo - Lê Hải An ra đi đầy uẩn khúc và khuất tất! Liệu cái chết của ông có được điều tra làm rõ???

Khác
CHINHTRIVIETNAM.NET
Thứ trưởng ra đi đầy uẩn khúc, cũng giống số phận quyết định kỷ luật cán bộ trong đường dây chạy điểm Bộ GD mà chính ông đã ký",1,514
33,"Sáng nay ngày 8/10/2019, đại diện Hội Giáo chức Chu Văn An và các văn sĩ thân hữu đến thăm, bảy tỏ sự ngưỡng mộ và ủng hộ tinh thần đấu tranh chống quan tham cướp đất của cụ Lê Đình Kình người đại diện cho nhânKhác dân xã Đồng Tâm cũng như tinh thần đoàn kết một lòng, sẵn sàng chấp nhận mọi hy sinh của người dân Đồng Tâm để bảo vệ quyền lợi chính đáng của mình..",1,364
41,"
Thông Chương
30 tháng 5, 2019 lúc 12:20 ·

Đây là những hình ảnh thầy Nguyễn Năng Tĩnh bị đánh hồi tháng 11 năm 2015 do công an cộng sản đánh đập.

Nhớ, đã nhiều lần thầy bị nhà cầm quyền dùng côn đồ để bắt cóc, đánh đập, gây rối khi thầy đang tá túc taiKhác nhà trọ cũ, và nay thì chúng đã có lệnh tạm giữ để điều tra thầy về tội chubag nhà nước chỉ vì thầy bênh vực cho kẻ yếu thế, lên tiếng về các vấn đề chủ quyền biển đảo, ô nhiệm môi trường.....",1,519
44,"Giám đốc sở giáo dục đào tạo Sơn La đáng cách chức, khởi tố, bỏ tù chưa???


BAOMOI.COM
Gia thế 'khủng' của 8 thí sinh được Phó GĐ Sở GD Sơn La nâng điểm",1,320
47,"CHIA TAY BỤC GIẢNG!

Mải mê sự nghiệp trồng người
Chia tay bục giảng vẫn cười vô tư
Từ nay mình sống thảnh thơi
Non xanh nước biếc một trời TỰ DO!

Bến Tắm - TP Chí Linh, tháng 5 năm 2019
Đ.H.T


Tấn Đỗ Huy
23 tháng 5, 2019 lúc 04:23 ·

CHIA TAY BỤC GIẢNG!

Mải mê sự nghiệp trồng người
Chia tay bục giảng vẫn cười vô tư
Từ nay mình sống thảnh thơi
Non xanh nước biếc một trời TỰ DO!

Bến Tắm - TP Chí Linh, tháng 5 năm 2019
Đ.H.T",1,525
