,content,label,avg_length
1,"Hôm nay sau gần một tuần bị dân mạng phanh phui vụ (ai đó) làm giả phiếu chuyển khoản 14 tỷ đồng cho Mặt trận Tổ quốc Trung ương, thì Võ Hoài Linh, nghệ sĩ hài với nghệ danh Hoài Linh cũng đã lên tiếng.
Đây là… More số tiền do đồng bào và doanh nghiệp khắp nơi, trong nước lẫn nước ngoài gửi về cấp tốc để cứu trợ khẩn cấp cho miền Trung bị lũ lụt vào cuối năm ngoái, theo lời kêu gọi của nghệ sĩ Hoài Linh thời điểm đó.
Trận đại hồng thủy cuối năm ngoái khiến người dân khắp một dải miền Trung tan cửa nát nhà, tài sản, nông sản, nông cụ… bị cuốn trôi sạch ra biển.
Những ngôi nhà bị bão tố lột sạch mái, đánh vỡ tường, lũ ngâm dầm dề nhiều ngày… ngay trong thời điểm nước sạch, thực phẩm, thuốc thang… More

Hôm nay sau gần một tuần bị dân mạng phanh phui vụ (ai đó) làm giả phiếu chuyển khoản 14 tỷ đồng cho Mặt trận Tổ quốc Trung ương, thì Võ Hoài Linh, nghệ sĩ hài với nghệ danh Hoài Linh cũng đã lên tiếng.
Đây là số tiền do đồng bào và doanh nghiệp khắp nơi, trong nước lẫn nước ngoài gửi về cấp tốc để cứu trợ khẩn cấp cho miền Trung bị lũ lụt vào cuối năm ngoái, theo lời kêu gọi của nghệ sĩ Hoài Linh thời điểm đó.
Trận đại hồng thủy cuối năm ngoái khiến người dân khắp một dải miền Trung tan cửa nát nhà, tài sản, nông sản, nông cụ… bị cuốn trôi sạch ra biển.
Những ngôi nhà bị bão tố lột sạch mái, đánh vỡ tường, lũ ngâm dầm dề nhiều ngày… ngay trong thời điểm nước sạch, thực phẩm, thuốc thang… More

RFA.ORG
Võ Hoàng Yên có đi show này với anh không Hoài Linh?
Một nghệ sĩ đã từng giản dị, chất phác, thành thật… không có nghĩa là họ sẽ cứ như vậy suốt đời. Khi cái tâm ma nổi lên, chữ thiện bị mờ đi trước lực hấp dẫn của tiền, của danh, của quyền lực thì nghề diễn và danh tiến...

RFA.ORG
Võ Hoàng Yên có đi show này với anh không Hoài Linh?",1,1758
2,"Tổng bí thư Nguyễn Phú Trọng lê một chân đi bỏ phiếu bầu cử
Đoạn video hôm 23-5-2021 cho thấy Tổng bí thư đảng CSVN Nguyễn Phú Trọng khi đứng lên phải có cận vệ kéo ghế, đồng thời lê một chân, tay run rẩy khi bỏ lá phiếu vào hòm phiếu bầu cử.
#RFAVietnamese #NguyenPhuTrong #Vietnam

Tổng bí thư Nguyễn Phú Trọng lê một chân đi bỏ phiếu bầu cử

Đoạn video hôm 23-5-2021 cho thấy Tổng bí thư đảng CSVN Nguyễn Phú Trọng khi đứng lên phải có cận vệ kéo ghế, đồng thời lê một chân, tay run rẩy khi bỏ lá phiếu vào hòm phiếu bầu cử.

#RFAVietnamese #NguyenPhuTrong #Vietnam

Play Video",1,580
3,"Tổng bí thư Nguyễn Phú Trọng lê một chân đi bỏ phiếu bầu cử
Đoạn video hôm 23-5-2021 cho thấy Tổng bí thư đảng CSVN Nguyễn Phú Trọng khi đứng lên phải có cận vệ kéo ghế, đồng thời lê một chân, tay run rẩy khi bỏ lá phiếu vào hòm phiếu bầu cử.
#RFAVietnamese #NguyenPhuTrong #Vietnam

Tổng bí thư Nguyễn Phú Trọng lê một chân đi bỏ phiếu bầu cử

Đoạn video hôm 23-5-2021 cho thấy Tổng bí thư đảng CSVN Nguyễn Phú Trọng khi đứng lên phải có cận vệ kéo ghế, đồng thời lê một chân, tay run rẩy khi bỏ lá phiếu vào hòm phiếu bầu cử.

#RFAVietnamese #NguyenPhuTrong #Vietnam

Tổng bí thư Nguyễn Phú Trọng lê một chân đi bỏ phiếu bầu cử

Tổng bí thư Nguyễn Phú Trọng lê một chân đi bỏ phiếu bầu cử",1,690
4,"Công dân khiếm thị, vợ ứng viên độc lập, bị lập biên bản do không đi bầu
Việt Nam báo cáo ca tử vong vì COVID-19 thứ 44
Chủng biến thể mới gây nhiều ca bệnh nặng bao gồm cả người trẻ ở Việt Nam
Phòng Thương… More mại Hoa Kỳ kêu gọi Việt Nam giảm thời gian cách ly với du khách đã tiêm vaccine COVID-19
Để xem phần tin nóng tại Youtube, quý vị có thể click vào link sau đây: 
Công dân khiếm thị, vợ ứng viên độc lập, bị lập biên bản do không đi bầu
Việt Nam báo cáo ca tử vong vì COVID-19 thứ 44
Chủng biến thể mới gây nhiều ca bệnh nặng bao gồm cả người trẻ ở Việt Nam
Phòng Thương mại Hoa Kỳ kêu gọi Việt Nam giảm thời gian cách ly với du khách đã tiêm vaccine COVID-19

Để xem phần tin nóng tại Youtube, quý vị có thể click vào link sau đây: 
Play Video",1,813
5,"Thắng lợi bằng mọi giá
Nhiều ngày qua, Việt Nam ghi nhận mỗi ngày trên 100 ca nhiễm COVID mới và số ca tử vong đã tăng lên 44 ca kể tháng 1 năm ngoái đến nay, trong đó chỉ riêng từ ngay 27/4 đến nay là 9 ca.… More Nhiều địa phương đã bị phong toả và ít nhất bốn khu công nghiệp đã phải dừng hoạt động khi số ca lây nhiễm tại đây tăng, khiến nhiều doanh nghiệp không khỏi bất an, lo ngại về nguy cơ phá sản do gián đoạn sản xuất, không hoàn thành hợp đồng đã ký với khách hàng nước ngoài.
Tuy vậy, cuộc bầu cử QH và HĐND vẫn được diễn ra đúng ngày ấn định, thậm chí trong ngày 22/5, hơn 100 bệnh nhân mắc COVID-19 đang điều trị tại Bệnh viện dã chiến số 1 Bắc Ninh đã phải “đi bầu” sớm ngay tại khu điều trị. Và hơn ba ngàn người dân Bắc Ninh -địa phương đang bị dịch hoành hành cũng đã đi bỏ phiếu bầu cử sớm.

Thắng lợi bằng mọi giá

Nhiều ngày qua, Việt Nam ghi nhận mỗi ngày trên 100 ca nhiễm COVID mới và số ca tử vong đã tăng lên 44 ca kể tháng 1 năm ngoái đến nay, trong đó chỉ riêng từ ngay 27/4 đến nay là 9 ca. Nhiều địa phương đã bị phong toả và ít nhất bốn khu công nghiệp đã phải dừng hoạt động khi số ca lây nhiễm tại đây tăng, khiến nhiều doanh nghiệp không khỏi bất an, lo ngại về nguy cơ phá sản do gián đoạn sản xuất, không hoàn thành hợp đồng đã ký với khách hàng nước ngoài.

Tuy vậy, cuộc bầu cử QH và HĐND vẫn được diễn ra đúng ngày ấn định, thậm chí trong ngày 22/5, hơn 100 bệnh nhân mắc COVID-19 đang điều trị tại Bệnh viện dã chiến số 1 Bắc Ninh đã phải “đi bầu” sớm ngay tại khu điều trị. Và hơn ba ngàn người dân Bắc Ninh -địa phương đang bị dịch hoành hành cũng đã đi bỏ phiếu bầu cử sớm.

RFA.ORG
Tại sao Việt Nam không hoãn cuộc bầu cử bất chấp bệnh dịch COVID-19 bùng phát mạnh?
Bất chấp sự lo lắng của người dân và doanh nghiệp khi số ca nhiễm vì dịch COVID-19 liên tiếp tăng, Việt Nam vẫn kiên quyết không hoãn việc tổ chức bầu cử đại biểu Quốc hội khoá XV và Hội đồng nhân dân các cấp nhiệm kỳ 2021-2026 ...

RFA.ORG
Tại sao Việt Nam không hoãn cuộc bầu cử bất chấp bệnh dịch COVID-19 bùng phát mạnh?",1,2034
7,"Nguyên Giám đốc Sở Y tế Sơn La bị khai trừ đảng
VKS đề nghị hủy án, điều tra lại vụ cựu bí thư Bến Cát
Nhiều đương sự đồng loạt khiếu nại Thi hành án vụ Vũ ‘Nhôm’
Nguyên trưởng Công an quận Tây Hồ xâm phạm hoạt… More động tư pháp bị đình chỉ công tác
Trịnh Sướng sản xuất xăng giả nhiều hơn đã xác định trước đây
Bốn doanh nghiệp ở Bắc Ninh bị dừng hoạt động vì xả nước thải ô nhiễm
Việt Nam xây thao trường huấn luyện đua tăng quốc tế
Tiêu điểm nổi bật: Những bất cập về nguồn nước ở Việt Nam
Để xem phần tin tổng hợp tại Youtube, quý vị có thể click vào link sau đây: 
Nguyên Giám đốc Sở Y tế Sơn La bị khai trừ đảng
VKS đề nghị hủy án, điều tra lại vụ cựu bí thư Bến Cát
Nhiều đương sự đồng loạt khiếu nại Thi hành án vụ Vũ ‘Nhôm’
Nguyên trưởng Công an quận Tây Hồ xâm phạm hoạt động tư pháp bị đình chỉ công tác
Trịnh Sướng sản xuất xăng giả nhiều hơn đã xác định trước đây
Bốn doanh nghiệp ở Bắc Ninh bị dừng hoạt động vì xả nước thải ô nhiễm
Việt Nam xây thao trường huấn luyện đua tăng quốc tế
Tiêu điểm nổi bật: Những bất cập về nguồn nước ở Việt Nam

Để xem phần tin tổng hợp tại Youtube, quý vị có thể click vào link sau đây: 
Thời sự trong ngày 24.05.2021

Thời sự trong ngày 24.05.2021",1,1255
10,"Công dân khiếm thị, vợ ứng viên độc lập, bị lập biên bản do không đi bầu
Việt Nam báo cáo ca tử vong vì COVID-19 thứ 44
Chủng biến thể mới gây nhiều ca bệnh nặng bao gồm cả người trẻ ở Việt Nam
Phòng Thương… More mại Hoa Kỳ kêu gọi Việt Nam giảm thời gian cách ly với du khách đã tiêm vaccine COVID-19
Để xem phần tin nóng tại Youtube, quý vị có thể click vào link sau đây: 
Công dân khiếm thị, vợ ứng viên độc lập, bị lập biên bản do không đi bầu
Việt Nam báo cáo ca tử vong vì COVID-19 thứ 44
Chủng biến thể mới gây nhiều ca bệnh nặng bao gồm cả người trẻ ở Việt Nam
Phòng Thương mại Hoa Kỳ kêu gọi Việt Nam giảm thời gian cách ly với du khách đã tiêm vaccine COVID-19

Để xem phần tin nóng tại Youtube, quý vị có thể click vào link sau đây: 
Play Video",1,813
11,"Công dân khiếm thị, vợ ứng viên độc lập, bị lập biên bản do không đi bầu
Việt Nam báo cáo ca tử vong vì COVID-19 thứ 44
Chủng biến thể mới gây nhiều ca bệnh nặng bao gồm cả người trẻ ở Việt Nam
Phòng Thương… More mại Hoa Kỳ kêu gọi Việt Nam giảm thời gian cách ly với du khách đã tiêm vaccine COVID-19
Để xem phần tin nóng tại Youtube, quý vị có thể click vào link sau đây: 
Công dân khiếm thị, vợ ứng viên độc lập, bị lập biên bản do không đi bầu
Việt Nam báo cáo ca tử vong vì COVID-19 thứ 44
Chủng biến thể mới gây nhiều ca bệnh nặng bao gồm cả người trẻ ở Việt Nam
Phòng Thương mại Hoa Kỳ kêu gọi Việt Nam giảm thời gian cách ly với du khách đã tiêm vaccine COVID-19

Để xem phần tin nóng tại Youtube, quý vị có thể click vào link sau đây: 
Tin nóng RFA ngày 24.05.2021

Tin nóng RFA ngày 24.05.2021",1,861
12,"""Đang nằm điều trị Covid-19 nhưng vẫn tham gia bầu cử bằng tinh thần dân tộc!""
Bộ trưởng Bộ Nội vụ Việt Nam Phạm Thị Thanh Trà cho biết như vừa nêu vào ngày 23-5-2021 khi trả lời câu hỏi về việc tỷ lệ cử tri… More đi bầu ở khu vực là ổ dịch COVID-19.
""Trong lúc khó khăn, dịch bệnh như vậy, nhiều người đang phải cách ly, đang nằm trên giường bệnh điều trị Covid-19, nhưng họ vẫn sẵn sàng tham gia bầu cử bằng chính tấm lòng của mình, bằng ý chí, tinh thần dân tộc."" - báo Hà Nội Mới dẫn lời bà Trà cho biết quan trọng nhất, đó là ""niềm tin của người dân, lòng dân đối với chế độ, đối với Đảng, Nhà nước"".
Theo hướng dẫn chăm sóc người bệnh COVID-19 của Bộ Y tế, hầu hết người bệnh (khoảng hơn 80%) chỉ… More

""Đang nằm điều trị Covid-19 nhưng vẫn tham gia bầu cử bằng tinh thần dân tộc!""

Bộ trưởng Bộ Nội vụ Việt Nam Phạm Thị Thanh Trà cho biết như vừa nêu vào ngày 23-5-2021 khi trả lời câu hỏi về việc tỷ lệ cử tri đi bầu ở khu vực là ổ dịch COVID-19.

""Trong lúc khó khăn, dịch bệnh như vậy, nhiều người đang phải cách ly, đang nằm trên giường bệnh điều trị Covid-19, nhưng họ vẫn sẵn sàng tham gia bầu cử bằng chính tấm lòng của mình, bằng ý chí, tinh thần dân tộc."" - báo Hà Nội Mới dẫn lời bà Trà cho biết quan trọng nhất, đó là ""niềm tin của người dân, lòng dân đối với chế độ, đối với Đảng, Nhà nước"".

Theo hướng dẫn chăm sóc người bệnh COVID-19 của Bộ Y tế, hầu hết người bệnh (khoảng hơn 80%) chỉ…

",1,1412
13,"Tối ngày 23-5-2021, bà Đỗ Lê Na ở phường Thanh Lương, quận Hai Bà Trưng thành phố Hà Nội bị Tổ bầu cử số 4 của phường lập biên bản về việc bà không đi bầu cử.
Bà Na là một người khiếm thị, vợ của ứng cử viên… More Đại biểu Quốc hội độc lập Lê Trọng Hùng - người bị bắt ngay trước thềm cuộc bầu cử do bị cáo buộc ""phát tán tài liệu chống nhà nước"".
Theo các video được bà đăng tải, Cảnh sát khu vực ra điều kiện: thứ nhất là bà phải đi bỏ phiếu, thứ hai nếu bà không bỏ phiếu thì Tổ bầu cử sẽ tiến hành lập biên bản đối với bà.

Tối ngày 23-5-2021, bà Đỗ Lê Na ở phường Thanh Lương, quận Hai Bà Trưng thành phố Hà Nội bị Tổ bầu cử số 4 của phường lập biên bản về việc bà không đi bầu cử.

Bà Na là một người khiếm thị, vợ của ứng cử viên Đại biểu Quốc hội độc lập Lê Trọng Hùng - người bị bắt ngay trước thềm cuộc bầu cử do bị cáo buộc ""phát tán tài liệu chống nhà nước"".

Theo các video được bà đăng tải, Cảnh sát khu vực ra điều kiện: thứ nhất là bà phải đi bỏ phiếu, thứ hai nếu bà không bỏ phiếu thì Tổ bầu cử sẽ tiến hành lập biên bản đối với bà.

RFA.ORG
Người dân bị lập biên bản vì không đi bầu
Tối ngày 23-5-2021, bà Đỗ Lê Na ở phường Thanh Lương, quận Hai Bà Trưng thành phố Hà Nội bị Tổ bầu cử số 4 của phường lập biên bản về việc bà không đi bầu cử.

RFA.ORG
Người dân bị lập biên bản vì không đi bầu",1,1311
