,content,label,avg_length
0,"“Nếu linh hồn thuộc về nhà nước, thì việc dâng linh hồn mình lên cho Thiên Chúa là một sự phản bội đối với nhà nước. Đó là lý do vì sao Giáo Hội Công Giáo bị dán nhãn là “Phản Động”. Một nhà nước vô thần hiểu rõ rằng họ không thể hoàn toàn sở hữu con người như một công cụ của nhà nước, trừ khi họ phá hủy Giáo Hội, mà Giáo Hội đó dạy rằng: Con người là con cái Thiên Chúa. Nhà nước đó không thể biến con người thành nô lệ cho tới khi nó nô lệ hóa được Giáo Hội, mà Giáo Hội đó dạy rằng: Con người có tự do”

Trích: “Chủ nghĩa cộng sản và lương tâm Phương Tây” - Đức tổng Giám mục Fulton Sheen Hoa Kỳ.

Nguồn: Hoài Thạch Sơn.",1,625
1,"MUỐN VÀO NƯỚC TRỜI HÃY NÊN NHƯ TRẺ NHỎ

Lòng tin tưởng của trẻ thơ gợi lên cho chúng ta về sự tin tưởng mà Chúa Giêsu đã dạy chúng ta phải có đối với Thiên Chúa Cha, Ðấng ngự trên trời. Thái độ trẻ thơ khâm phục trước vũ trụ và thiên nhiên nhắc nhớ sự khâm phục mà chúng ta cần có đối với vũ trụ do Thiên Chúa Cha chúng ta dựng nên. Thái độ đáp trả của trẻ nhỏ trước tình yêu thương nhắc chúng ta phải đáp trả đối với tình yêu thương của Thiên Chúa.

Trên đời này không ai lại không muốn cho mình được nổi nang, danh giá, và được mọi người kính trọng. Những ông hoàng, bà chúa, những hoàng tử, công chúa, công nương, những nhà chính trị, kinh doanh, khoa học gia… nổi tiếng đều là những người mà với…",1,700
2,"MƯỜI CĂN BỆNH LÀM BĂNG HOẠI NGƯỜI CÔNG GIÁO
(Đức Cố Hồng Y FX. Nguyễn Văn Thuận)

1. Bệnh quá khứ cục bộ.

Bệnh này thể hiện qua tâm trạng chỉ nhớ và khen cái quá khứ của mình mà thôi và đóng khung lại trong đó. Ngày tôi bị đưa đi tù ra Bắc, thỉnh thoảng gặp giáo dân và ai cũng hớn hở tâm sự: “Thưa cha, chúng con thấy sung sướng nhất là thời còn Đức khâm sứ . Chúng con đi rước kiệu đầy đường phố, quanh cả bờ hồ Hoàn Kiếm, và thấy Đức khâm sứ quỳ trên chiếc xe, tay cầm Mình Thánh Chúa, mặt ngài sáng láng đỏ hồng như mặt trời. Không biết bao giờ chúng con mới trở lại được như thời kỳ có Đức khâm sứ!”.

Ta không quên quá khứ, vì đó là bài học kinh nghiệm, nhưng ta không dừng lại đó, ta nhìn tương…",1,703
3,"BẢN TIN ĐẶC BIỆT VỀ NỮ TÙ NHÂN LƯƠNG TÂM VIỆT NAM

Trên căn bản xem mọi người là vô tội cho đến khi bị chứng minh là có tội; Trên căn bản không chấp nhận kiểu buộc tội tùy tiện và phi pháp, chỉ phục vụ cho các mục tiêu chính trị của hệ thống tòa án hiện nay, chúng tôi xem những người dân dám lên tiếng và hành xử theo lương tâm của mình mà bị tù tội là những Tù Nhân Lương Tâm (TNLT).

Bản tin kỳ này đặc biệt dành cho các nữ TNLT, những người mẹ, người vợ, người chị, người em đang sống đằng sau song sắt nhà tù, hy sinh hạnh phúc của riêng mình vì số phận của bao người khác.

Xin hãy luôn nhớ đến, nhắc đến và cùng nhau đùm bọc gia đình các nữ TNLT VN.

• TNLT Cấn Thị Thêu
• TNLT Nguyễn Thúy Hạnh…",1,702
4,"Bộ máy nhà nước Việt Nam hiện tại có khoảng 3 triệu cán bộ, công chức, viên chức.

Nếu cộng cả đối tượng nghỉ hưu, các đối tượng khác hưởng lương, trợ cấp từ ngân sách nhà nước, con số này lên tới 11 triệu người theo số liệu của Bộ Nội vụ cập nhật đến tháng 3/2018, nước ta có gần 137 nghìn khóm, xóm, tổ dân phố; 11.162 xã, phường; 713 đơn vị hành chính cấp huyện và 63 tỉnh, thành phố trực thuộc TƯ.

Cứ trung bình 9 người dân làm thì nuôi 1 cán bộ, đây là con số vô cùng khủng khiếp, người dân VN không phải là quốc gia nuôi bộ máy nhà nước lớn nhất vùng Đông Nam Á, hay Châu lục mà là lớn nhất thế giới.

Nước Mỹ có diện tích lớn xấp xỉ 30 lần VN, dân số gần gấp bốn lần nhưng đội ngũ công chức của…",1,703
5,"GIÁO HỘI CÓ ĐƯỢC LÀM CHÍNH TRỊ KHÔNG ?

Hỏi: Xin cha cho biết Giáo Hội nói chung và giáo sĩ nói riêng có được làm chính trị như tham gia vào một chánh đảng hay ra ứng cử vào các chức vụ dân cử không?

Trả lời: Trong thời gian vừa qua, dư luận trong và ngoài Việt Nam đã xôn xao về việc linh mục này làm chính trị, linh mục kia gia nhập một chánh đảng và công khai tuyên bố lập trường này trên truyền thông, linh mục khác ra ứng cử vào các chức vụ dân cử…Chúng ta nghĩ thế nào về thực trạng đó?

Nhưng trước khi trả lời câu hỏi này, thiết tưởng chúng ta nên đọc lại Kinh Thánh Tân Ước để biết Chúa Giêsu đã nói và làm những gì trong suốt 3 năm công khai rao giảng Tin Mừng để căn cứ vào đó chúng ta có…",1,701
6,"Phạm Đoan Trang được phong làm thành viên danh dự của tổ chức Văn bút (PEN) Đức

Hôm nay ngày 18/05/2021, Trung tâm Văn bút (PEN) của Đức đã phong nhà báo độc lập Phạm Đoan Trang làm thành viên danh dự của tổ chức này và yêu cầu trả tự do cho cô ấy ngay lập tức. Cô là một trong những nhà chỉ trích chính phủ Việt Nam nổi tiếng nhất và bị bắt vào ngày 6 tháng 10 năm 2020 tại căn hộ của cô ở TP Hồ Chí Minh. Cô phải đối mặt với án tù 20 năm với cáo buộc tuyên truyền chống nhà nước.

Ông Ralf Nestmeyer, Phó Chủ tịch kiêm Đại diện Ủy ban ""Những người cầm bút bị giam cầm"" (Writers-in-Prison-Committee) của PEN Đức phát biểu: “Việt Nam là một trong những quốc gia trên thế giới hạn chế quyền tự do ngôn…",1,702
9,"HÀNG NGHÌN CMND và CCCD BỊ RAO BÁN TRÊN MẠNG

17 GB dữ liệu chứa ảnh chụp chứng minh nhân dân của hàng nghìn người Việt Nam đang bị rao bán với giá 9.000 USD trên diễn đàn hacker.

Các dữ liệu này được đăng bởi thành viên Ox1337xO trên diễn đàn chuyên mua bán dữ liệu của hacker từ ngày 13/5. Trong bài viết, người này khẳng định đang sở hữu lượng lớn dữ liệu KYC (Know Your Customer) - dữ liệu để xác minh thông tin người dùng.

17 GB này gồm ảnh chụp chứng minh nhân dân, căn cước công dân (mặt trước, mặt sau), ảnh/video selfie, đi kèm địa chỉ, số điện thoại và email. Trong đó, riêng một tệp tin dung lượng 1,4 GB chứa thông tin của 3,6 nghìn người.

Để chứng minh ""chất lượng"" nội dung, người này đã…",1,705
10,"NUÔI CÔNG AN ĐỂ LÀM VẬY?

khoảng 16 giờ 20 phút chiều hôm qua 16/05, khi người dân lưu thông trên đường Cienco5, khu đô thị Thanh Hà (huyện Thanh Oai, TP Hà Nội) đoạn gần cây xăng cũ thuộc quận Hà Đông, bất ngờ nghe tiếng tri hô ""cướp, cướp"" của một tài xế taxi. Sau đó, nam tài xế này lao ra khỏi xe taxi BKS 30A-388.xx với nhiều vết thương chảy máu trên người.

Giữa đám đông chung quang trước tiếng hô cướp cướp, mà không một ai đoái nhìn, mặc kệ để anh tài taxi bị đâm máu loang khắp người, một mình anh khống chế và bắt gọn tên cướp. Đặc biệt, bên cạnh đó, một công an liên tục bấm điện thoại, đứng nhìn thật lạnh lùng.

Người ta hỏi, công an nhân dân, cuối cùng dân đóng thuế để họ làm gì trong…",1,701
14,"LỄ CHÚA GIÊSU LÊN TRỜI
BÀI GIẢNG LINH MỤC ANTÔN ĐẶNG HỮU NAM

“Họ không làm tôi hai chủ, nhưng luôn chọn Chúa làm gia nghiệp đời mình”.

Kính thưa quý ông bà và anh chị em!

Năm 1285, quân Nguyên Mông sang xâm chiếm Đại Việt, Dũng tướng Trần Bình Trọng được giao coi giữ Thiên Trường tỉnh Nam Định ngày nay. Khi giặc đến, vì lực lượng yếu, Trần Bình Trọng bị bắt, Lý Hằng sai giải đến cho Thoát Hoan. Thoát Hoan thấy Trần Bình Trọng người cao lớn, dáng đi hùng dũng, nét mặt đường hoàng, không có chút gì là sợ sệt thì biết không phải là tướng thường, nên muốn dụ hàng, tiếp đãi rất tử tế. Nhưng Trần Bình Trọng không ăn. Hỏi đến việc nước, Trần Bình Trọng cũng không nói. Thoát Hoan lại hỏi: “Tướng… More",1,705
