,content,label,avg_length
0,"Bộ máy tuyên giáo CSVN luôn tuyên truyền về vai trò của các Đại biểu trong Quốc hội và Hội đồng nhân dân là lắng nghe ý chí và nguyện vọng của người dân.

Tuy nhiên, thực tế là rất ít người dân có cơ hội được gặp gỡ, chia sẻ tâm tư với những người trên danh nghĩa là đại diện cho mình. Và như vậy cuộc bầu cử chỉ là vở kịch tốn kém nhằm củng cố tính chính danh cho đảng cầm quyền, không phục vụ lợi ích của dân chúng.

Vì vậy, để thực hiện quyền của mình một cách có trách nhiệm, người dân không nên tuỳ tiện bỏ phiếu cho những người mà mình không biết.

KHÔNG BIẾT KHÔNG BẦU!",1,576
1,"BẮC KINH BỊ CÁO BUỘC DIỆT CHỦNG NGƯỜI NGÔ DUY NHĨ QUA CHÍNH SÁCH TRIỆT SẢN

Chính phủ Trung Quốc bị cáo buộc tra tấn có hệ thống đối với các dân tộc thiểu số. Theo một nghiên cứu thì tỷ lệ sanh con của những người Duy Ngô Nhĩ bị áp bức ở vùng Tân Cương đã giảm hơn 50% trong vòng một năm. Sự việc này cũng có thể được cho là một tội diệt chủng.

Theo Viện chính sách chiến lược ASPI của Úc thì áp lực chính trị của Trung Quốc tại khu vực Tân Cương đã dẫn đến sự sụt giảm tỷ lệ sanh con của người Duy Ngô Nhĩ và các dân tộc thiểu số khác. Viện ASPI cho biết: “Phân tích của chúng tôi dựa trên công trình trước đó và cung cấp bằng chứng thuyết phục rằng các chính sách của Trung Quốc ở Tân Cương có thể…",1,701
3,"5 NGƯỜI BỊ BẮT VÌ ĐƯA 200 NGƯỜI TRUNG QUỐC XUẤT NHẬP CẢNH TRÁI PHÉP VÀO VIỆT NAM

Công an tỉnh Lào Cai hôm 18/5 cho biết đã khởi tố, bắt tạm giam năm người bị xác định đã giúp khoảng 200 người Trung Quốc xuất nhập cảnh trái phép qua biên giới ở địa phương.

Truyền thông Nhà nước cùng ngày cho biết, nhóm người này đã tổ chức đưa 90 lượt xuất nhập cảnh trái phép qua địa phận thôn Na Lốc, xã Bản Lầu, huyện Mường Khương, tỉnh Lào Cai từ ngày 13 đến 20/4/2021.

Cơ quan điều tra xác định bà Giàng Mỉ (sinh năm 1990, trú xã Bản Lầu) là người cầm đầu đường dây này.

Ngoài ra, Vũ Minh Toàn (sinh năm 1998, trú tại xã Đức Ninh, huyện Hàm Yên, tỉnh Tuyên Quang) là người cầm đầu đường dây ở phía Trung Quốc.…",1,703
4,"BẦU CỬ NHƯ VIỆC NẤU ĂN
Ls Luân Lê

Khi sự sáng suốt bị hối thúc nhiều lần với cùng một cách thức liên tục sẽ chỉ khiến người khác thấy cần phải sáng suốt trước sự hối thúc của chính người này.
Mấy chục năm không thể ra nổi đạo luật biểu tình cho người dân, không có luật về đảng, họ nghĩ gì về tính đại diện thực sự của họ trong vai trò mình có?
Xin nhớ cho, bầu cử là một quy trình mà người dân phải được tham gia vào mọi quá trình và là chủ thể quyết định ứng viên chứ không phải lựa chọn ứng viên được chọn sẵn theo cách thức của người khác.
Phẩm chất của toàn bộ cơ chế để thực hiện một tiến trình bầu cử mới quyết định tính dân chủ của việc bầu cử, nếu không đảm bảo đó là một tiến trình pháp lý… More",1,706
5,"NGƯỜI DÂN VIỆT NAM TỐN BAO NHIÊU TIỀN ĐỂ BẦU RA MỘT ĐẠI BIỂU DÂN CỬ?

Ngày 23/5 tới đây, sẽ có hơn 300 ngàn người được bầu chọn làm đại biểu, từ Quốc hội đến các hội đồng nhân dân cấp xã.
Những tấm áp-phích bầu cử, những lá cờ trang trí, những chiếc thẻ cử tri đều do ngân sách nhà nước chi trả, tức chính là tiền của người dân.
Bạn có biết chính quyền trung ương và các địa phương đã dự toán kinh phí bầu cử như thế nào, và tốn bao nhiêu tiền để bầu ra một đại biểu dân cử?

Trích bài Người dân Việt Nam Tốn bao nhiêu tiền để bầu ra một đại biểu dân cử? - Hồng Anh - Luật Khoa Tạp Chí

#ViệtTân #bầucửquốchội

YOUTUBE.COM
Người dân Việt Nam Tốn bao nhiêu tiền để bầu ra một đại biểu dân cử?",1,735
6,"ĐẶNG HOÀNG ĐA CHỈ BỊ CẢNH CÁO: TÔ LÂM DỄ DÃI VỚI ĐỒNG ĐẢNG, NGHIỆT NGÃ VỚI ĐỒNG BÀO

Ủy ban Kiểm tra của Ban Chấp hành Trung ương đảng CSVN vừa quyết định “nhất trí"" với đề nghị của Thường vụ Đảng ủy Công an Trung ương … chỉ cảnh cáo Thiếu tướng Đặng Hoàng Đa, Cục phó Cục Xây dựng phong trào toàn dân bảo vệ an ninh tổ quốc của Bộ Công an Việt Nam, người đã ""sử dụng sai trái"" 46 tỷ đồng Quỹ Sản xuất của Công an tỉnh Sóc Trăng!!

Trích bài Dễ dãi với đồng đảng, nghiệt ngã với đồng bào! - Trân Văn

#ViệtTân #TôLâm #ĐặngHoàngĐa #thamnhũng

YOUTUBE.COM
Đặng Hoàng Đa chỉ bị cảnh cáo: Tô Lâm dễ dãi với đồng đảng, nghiệt ngã với đồng bào!",1,682
7,"CHỈ CẦN VỨT “CÁI GỌI LÀ QUỐC HỘI” VÀO SỌT RÁC THÌ DÂN SẼ RẤT HOAN NGHÊNH

Đỗ Ngà

Trong kinh tế, nếu độc quyền thì thị trường phải chấp nhận sự áp đặt của doanh nghiệp, còn nếu cạnh tranh thì doanh nghiệp phải chấp nhận sự áp đặt của thị trường, nếu doanh nghiệp nào không chấp nhận được thì bị loại khỏi thị trường.

Trong chính trị cũng vậy, độc đảng thì đảng áp đặt ý chí của nó lên toàn dân, còn đa đảng thì toàn dân áp đặt ý chí lên đảng phái, nếu đảng phái nào không chấp nhận sự áp đặt ý chí từ phía nhân dân, đảng đó sẽ bị loại khỏi nhà nước, thế thôi. Chỉ cần thay đổi từ “đơn” sang “đa” thì thế làm chủ sẽ đổi ngôi, đó là quy luật tất yếu không thể khác được.

Nói về quốc hội thì Quốc hội Mỹ…",1,703
8,"NHÀ GIÁO PHẠM MINH HOÀNG: BẦU CỬ Ở VIỆT NAM CHỈ CÓ TUYÊN TRUYỀN CHỨ KHÔNG CÓ TRANH CỬ

Ngày 23 tháng 5 là ngày đảng và nhà nước CSVN tổ chức bầu cử Quốc hội khóa 15 & Hội đồng Nhân dân các cấp nhiệm kỳ 2021-2026… Đây là một sự kiện quan trọng đối với đảng csvn, diễn ra sau Đại hội 13.
Trong chương trình Câu Chuyện Trong Tuần, nhà giáo Phạm Minh Hoàng chia sẻ quan điểm của ông về cuộc bầu cử này.

#ViệtTân #bầucửquốchội #PhạmMinhHoàng


YOUTUBE.COM
Nhà giáo Phạm Minh Hoàng: bầu cử ở Việt Nam chỉ có tuyên truyền không có tranh cử",1,577
9,"LỜI KỂ ĐÁNH CHO PHẢI NHẬN CỦA TỬ TÙ NGUYỄN THANH CHẤN!

9 ngày kinh hoàng nhục hình, bức cung.

Khi chúng tôi hỏi: “Vì sao không giết người mà ông lại viết lá đơn tự thú ngày 29/9 ấy?”, trái với lời lẽ nhát gừng, yếu ớt bình thường, giọng ông Chấn bỗng lưu loát hẳn lên. Chắc hẳn “đoạn phim” đau thương đó đã tua đi tua lại đậm nét trong trí nhớ ông suốt bao năm qua:

“Ngày 20/9 tôi lên huyện, công an lấy dấu chân dấu tay của tôi rất nhiều lần, rồi hỏi đi hỏi lại rất nhiều lần. Tối họ cho về, ngày hôm sau lại lên, gặp cán bộ Nguyễn Hữu Tân, lại dấu chân dấu tay, rồi đánh tôi rất đau. Tôi kêu: Tôi có giết người đâu mà các anh bắt tôi nhận? Cán bộ Tân bảo: Cho mày uống thuốc lú cho mày cãi khỏe,…",1,701
10,"NGUYỄN PHÚ TRỌNG VÀ CON ĐƯỜNG TIẾN LÊN XÃ HỘI CHỦ NGHĨA

Trung Điền

Mới đây, ông Nguyễn Phú Trọng, Tổng bí thư đảng CSVN và cũng là một nhà lý thuyết về “chủ nghĩa xã hội”, đã có một bài viết khá dài, hơn 8 ngàn chữ có tựa đề “Một số vấn đề lý luận và thực tiễn về chủ nghĩa xã hội và con đường đi lên chủ nghĩa xã hội ở Việt Nam"". Bài viết đã được các báo lề đảng “đồng loạt” loan tải, nhân dịp kỷ niệm 131 năm ngày sinh của ông Hồ.
Đúng ra, đây là bài giảng chính trị dành cho cán bộ đảng viên trong đảng CSVN hơn là cho đối tượng quần chúng, với nội dung một chiều, tô vẽ sự “tài tình” của lãnh đạo về việc giữ vững ngọn cờ chủ nghĩa xã hội sau khi khối Liên Xô sụp đổ (1991), chỉ trích chủ nghĩa… More",1,706
