,viet tat,mean
0,ABC,Công ty Truyền thông ABC
1,ADB,Ngân hàng Phát triển châu Á
2,ADN,AND
3,ANĐT,an ninh điều tra
4,ATGT,An toàn Giao thông
5,ATM,Máy rút tiền tự động
6,ATNĐ,áp thấp nhiệt đới
7,ATTT,An toàn Trật tự
8,ATTTGT,An toàn Trật tự Giao thông
9,ATVSTP,an toàn vệ sinh thực phẩm
10,BBCVT,Bộ Bưu chính Viễn thông
11,BBT,Ban biên tập
12,BC,"Bán công, Bưu chính"
13,BCĐ,Ban chỉ đạo
14,BCĐĐMĐH,Ban chỉ đạo đổi mới đại học
15,BCĐPCTNTƯ,Ban chỉ đạo phòng chống tham nhũng trung ương
16,BCĐQG,Ban chỉ đạo Quốc gia
17,BCĐT,Bưu chính điện tử
18,BCĐTS,Ban chỉ đạo tuyển sinh
19,BCHCD,Ban chỉ huy chiến dịch
20,BCHQS,Bộ chỉ huy quân sự
21,BCHTƯ,Ban chỉ huy trung ương
22,BCHTW,Ban chỉ huy trung ương
23,BCVT,Bưu chính Viễn thông
24,BD,Bình Dương
25,BĐ,Bóng đá
26,BĐN,Bồ Đào Nha
27,BĐS,bất động sản
28,BĐVN,Bóng đá Việt Nam
29,BGD,Bộ Giáo dục
30,BGDĐT,Bộ Giáo dục và Đào tạo
31,BGH,Ban giám hiệu
32,BGK,Ban giám khảo
33,BH,Bảo hiểm
34,BHĐC,bán hàng đa cấp
35,BHL,Ban huấn luyện
36,BHV,Ban huấn luyện
37,BHXH,Bảo hiểm xã hội
38,BHYT,Bảo hiểm y tế
39,BIDV,Ngân hàng Đầu tư và Phát triển Việt Nam
40,BK,Bách khoa
41,BKS,"Ban Kiểm soát, biển kiểm soát"
42,BLHS,Bộ luật Hình sự
43,BP,Biên phòng
44,BQL,Ban quản lý
45,BQLDA,Ban Quản lý dự án
46,BSC,Công ty Chứng khoán Ngân hàng Đầu tư & Phát triển Việt Nam
47,BT,"bảo trì, bộ trưởng"
48,BTA,Hiệp định Thương mại Việt - Mỹ
49,BTBNN,bảo trợ bệnh nhân nghèo
50,BTC,Ban tổ chức
51,BTS,Ban tuyển sinh
52,BTV,Biên tập viên
53,BTVH,Bổ túc Văn hóa
54,BV,Bện viện
55,BVĐK,Bệnh viện Đa khoa
56,BVTV,Bảo vệ thực vật
57,BX,Bến xe
58,BXL,Bộ xử lý
59,CAHN,Công an Hà Nội
60,CAND,Công an Nhân dân
61,CATP,Công an Thành phố
62,CB,"Cơ bản, Cán bộ, Chế biến"
63,CBCC,cán bộ công chức
64,CBCNV,Cán bộ công nhân viên
65,CBQLGD,cán bộ quản lý giáo dục
